;0;1;2;3;4;5;6;7;8;9;;;;;;;;;;
0;1234;0,141815235;0,070502431;0,142625608;0,337925446;0,30713128;0;0;0;0;;;;;;;;;;
1;2023;0,125061789;0,046465645;0,071675729;0,182896688;0,437469105;0,136431043;0;0;0;;;;;;;;;;
2;2659;0,105302745;0,040240692;0,047010154;0,129371944;0,34749906;0,330575404;0;0;0;;;;;;;;;;
3;3272;0,11002445;0,034841076;0,037591687;0,078545232;0,281479218;0,457518337;0;0;0;;;;;;;;;;
4;3878;0,110108303;0,027075812;0,030685921;0,062145436;0,223310985;0,546673543;0;0;0;;;;;;;;;;
5;4438;0,098693105;0,029743128;0,024560613;0,057007661;0,19738621;0,592609283;0;0;0;;;;;;;;;;
6;5010;0,08243513;0,026147705;0,028942116;0,046107784;0,179441118;0,636926148;0;0;0;;;;;;;;;;
7;5614;0,083541147;0,025828286;0,024581404;0,041503384;0,169932312;0,654613466;0;0;0;;;;;;;;;;
8;6065;0,073206925;0,024732069;0,025886232;0,037757626;0,182357791;0,656059357;0;0;0;;;;;;;;;;
9;6602;0,069978794;0,025446834;0,021963042;0,038624659;0,18615571;0,65783096;0;0;0;;;;;;;;;;
10;7154;0,066675985;0,023343584;0,022225328;0,035784177;0,196812972;0,655157954;0;0;0;;;;;;;;;;
11;7692;0,065652626;0,021710868;0,021840874;0,03549142;0,194357774;0,660946438;0;0;0;;;;;;;;;;
12;8229;0,06209746;0,022846032;0,020537125;0,033904484;0,198079961;0,662534937;0;0;0;;;;;;;;;;
13;8755;0,059166191;0,022387207;0,020902342;0,034266134;0,212678469;0,650599657;0;0;0;;;;;;;;;;
14;9290;0,058880517;0,020129171;0,021097955;0,033369214;0,232077503;0,63444564;0;0;0;;;;;;;;;;
15;9806;0,055476239;0,020191719;0,019783806;0,033550887;0,243626351;0,627370997;0;0;0;;;;;;;;;;
16;10354;0,056306741;0,01873672;0,019219625;0,032547808;0,246474792;0,621209195;0,005505119;0;0;;;;;;;;;;
17;10859;0,051385947;0,019154618;0,019338797;0,032323418;0,276544802;0,588912423;0,012339994;0;0;;;;;;;;;;
18;11387;0,049266708;0,019408097;0,018793361;0,032054097;0,288925968;0,5677527;0,023799069;0;0;;;;;;;;;;
19;11941;0,048739637;0,018591408;0,019177623;0,032241856;0,294363956;0,552801273;0,034084248;0;0;;;;;;;;;;
20;12539;0,049924236;0,019539038;0,017784512;0,031820719;0,29627562;0,521971449;0,062684425;0;0;;;;;;;;;;
21;13072;0,047276622;0,017977356;0,018665851;0,032206242;0,308445532;0,493344553;0,082083843;0;0;;;;;;;;;;
22;13632;0,046068075;0,018632629;0,018559272;0,031396714;0,315360915;0,464201878;0,105780516;0;0;;;;;;;;;;
23;14180;0,044781382;0,016925247;0,018476728;0,032863188;0,339351199;0,426022567;0,12157969;0;0;;;;;;;;;;
24;14726;0,04407171;0,016840962;0,018674453;0,033342388;0,343066685;0,421771017;0,122232786;0;0;;;;;;;;;;
25;15274;0,045043865;0,01689145;0,017611628;0,032408014;0,334424512;0,435576797;0,118043734;0;0;;;;;;;;;;
26;15738;0,041746092;0,016711145;0,017600712;0,033041047;0,342419621;0,45717372;0,091307663;0;0;;;;;;;;;;
27;16164;0,039903489;0,017631774;0,017941104;0,032108389;0,352697352;0,467211086;0,072506805;0;0;;;;;;;;;;
28;16618;0,041521242;0,017029727;0,017511133;0,032314358;0,354495126;0,465639668;0,071488747;0;0;;;;;;;;;;
29;17045;0,040246407;0,016192432;0,017835142;0,033323555;0,363801701;0,446230566;0,082370197;0;0;;;;;;;;;;
30;17516;0,040534369;0,016841745;0,016727563;0,03374058;0,359157342;0,439940626;0,093057776;0;0;;;;;;;;;;
31;17944;0,037784218;0,017108783;0,017387428;0,034663397;0,359172983;0,434351315;0,099531877;0;0;;;;;;;;;;
32;18433;0,03797537;0,015624152;0,018119677;0,035317094;0,345575869;0,439158032;0,108229805;0;0;;;;;;;;;;
33;18958;0,03971938;0,015771706;0,017723389;0,034128073;0,331047579;0,440236312;0,121373563;0;0;;;;;;;;;;
34;19483;0,039572961;0,01555202;0,017707745;0,034440281;0,31591644;0,453728892;0,123081661;0;0;;;;;;;;;;
35;19971;0,037804817;0,015272145;0,017425267;0,035201042;0,308297031;0,461118622;0,124881078;0;0;;;;;;;;;;
36;20464;0,035965598;0,015490618;0,016565676;0,035965598;0,301260751;0,478254496;0,116497263;0;0;;;;;;;;;;
37;20977;0,035324403;0,015874529;0,016398913;0,034990704;0,28741002;0,493683558;0,116317872;0;0;;;;;;;;;;
38;21467;0,034797596;0,015745097;0,015978013;0,035915591;0,278893185;0,515675222;0,102995295;0;0;;;;;;;;;;
39;21969;0,034457645;0,014748054;0,016796395;0,036733579;0,268378169;0,525012518;0,10387364;0;0;;;;;;;;;;
40;22493;0,034677455;0,014093273;0,016805228;0,036989286;0,257813542;0,536789223;0,102831992;0;0;;;;;;;;;;
41;23041;0,036239747;0,014322295;0,016752745;0,035892539;0,245388655;0,544377414;0,107026605;0;0;;;;;;;;;;
42;23521;0,034479827;0,014837805;0,016240806;0,038391225;0,237404872;0,564261724;0,094383742;0;0;;;;;;;;;;
43;23997;0,033337501;0,014335125;0,016377047;0,038129766;0,231653957;0,590615494;0,075551111;0;0;;;;;;;;;;
44;24528;0,033635029;0,014432485;0,015818656;0,037385845;0,223825832;0,609059035;0,065843118;0;0;;;;;;;;;;
45;25032;0,031719399;0,014940876;0,016658677;0,035714286;0,219039629;0,620965165;0,060961969;0;0;;;;;;;;;;
46;25568;0,03097622;0,015096996;0,015722778;0,03547403;0,209519712;0,633956508;0,059253755;0;0;;;;;;;;;;
47;26088;0,030972094;0,01448942;0,015524379;0,035111929;0,206033425;0,65267556;0,045193192;0;0;;;;;;;;;;
48;26648;0,030658961;0,014297508;0,016023717;0,03298559;0,201478535;0,665978685;0,038577004;0;0;;;;;;;;;;
49;27164;0,029855691;0,013878663;0,016050655;0,033389781;0,198313945;0,674053895;0,03445737;0;0;;;;;;;;;;
50;27704;0,030212244;0,01346376;0,015665608;0,033749639;0,192282703;0,683186543;0,031439503;0;0;;;;;;;;;;
51;28223;0,02926691;0,013995677;0,015696418;0,033731354;0,189242816;0,690110902;0,027955922;0;0;;;;;;;;;;
52;28760;0,029937413;0,013004172;0,015924896;0,033657858;0,185883171;0,702260083;0,019332406;0;0;;;;;;;;;;
53;29286;0,030287509;0,012838899;0,01539985;0,034828928;0,182988459;0,698422454;0,0252339;0;0;;;;;;;;;;
54;29786;0,0296448;0,013361982;0,014805613;0,034613577;0,182132545;0,70838649;0,017054992;0;0;;;;;;;;;;
55;30336;0,030228112;0,013350475;0,014603112;0,034018987;0,180808281;0,707245517;0,019745517;0;0;;;;;;;;;;
56;30802;0,02753068;0,013603013;0,014771768;0,034121161;0,181838842;0,70846049;0,019674047;0;0;;;;;;;;;;
57;31260;0,026839411;0,012252079;0,015067179;0,034676903;0,183397313;0,711100448;0,016666667;0;0;;;;;;;;;;
58;31778;0,027408899;0,012996413;0,014947448;0,033639625;0,181100132;0,710900623;0,01900686;0;0;;;;;;;;;;
59;32247;0,02679319;0,012807393;0,014916116;0,033181381;0,183396905;0,710794803;0,018110212;0;0;;;;;;;;;;
60;32788;0,027632061;0,012992558;0,014639502;0,032206905;0,179577894;0,715780163;0,017170916;0;0;;;;;;;;;;
61;33259;0,026729607;0,012237289;0,01437205;0,032141676;0,18301813;0,718692685;0,012808563;0;0;;;;;;;;;;
62;33778;0,026614956;0,012463734;0,014417668;0,030759666;0,183581029;0,717360412;0,014802534;0;0;;;;;;;;;;
63;34241;0,025787798;0,012207587;0,014164306;0,031073859;0,189100786;0,716421833;0,01124383;0;0;;;;;;;;;;
64;34799;0,026466278;0,012529096;0,0137935;0,030202017;0,186068565;0,720710365;0,010230179;0;0;;;;;;;;;;
65;35285;0,026498512;0,011903075;0,014482075;0,029275896;0,188153606;0,725038968;0,004647867;0;0;;;;;;;;;;
66;35716;0,024554821;0,01229141;0,01374734;0,029902565;0,196130586;0,723261283;0,000111995;0;0;;;;;;;;;;
67;36247;0,024939995;0,012111347;0,013601126;0,029105857;0,195078213;0,724308219;0,000855243;0;0;;;;;;;;;;
68;36790;0,024843708;0,012313129;0,013536287;0,028404458;0,193204675;0,726474585;0,001223158;0;0;;;;;;;;;;
69;37308;0,025678139;0,011525678;0,013107108;0,028144098;0,196284979;0,724777528;0,00048247;0;0;;;;;;;;;;
