;0;1;2;3;4;5;6;7;8;9;10
0;1552;0,494201031;0,028994845;0,019329897;0,012242268;0,011597938;0,013530928;0,027061856;0,046391753;0,345360825;0,00128866
1;2129;0,399718178;0,022545796;0,019257868;0,012212306;0,012212306;0,008924378;0,046970409;0,163457022;0,308595585;0,006106153
2;2705;0,354158965;0,020702403;0,015896488;0,008502773;0,01219963;0,015896488;0,052865065;0,164879852;0,354898336;0
3;3333;0,309630963;0,02190219;0,01290129;0,00870087;0,01110111;0,01380138;0,04830483;0,129312931;0,416441644;0,02790279
4;4099;0,300317151;0,018297146;0,010490364;0,009026592;0,009514516;0,012686021;0,037814101;0,113930227;0,411319834;0,07660405
5;4726;0,264705882;0,016927634;0,011637749;0,007617435;0,010579771;0,010579771;0,036394414;0,141980533;0,414515446;0,085061363
6;5441;0,253813637;0,019481713;0,009005697;0,006248851;0,011211174;0,010108436;0,034920051;0,131225878;0,414997243;0,108987319
7;6208;0,248550258;0,017235825;0,010953608;0,005476804;0,008859536;0,011114691;0,032377577;0,112918814;0,409954897;0,14255799
8;6939;0,238074651;0,015131863;0,012105491;0,005620406;0,007782101;0,010232022;0,030840179;0,103617236;0,404813374;0,171782678
9;7696;0,232718295;0,015722453;0,010135135;0,006886694;0,007796258;0,008445946;0,03014553;0,096933472;0,402027027;0,189189189
10;8270;0,216928658;0,014631197;0,008101572;0,006650544;0,009915357;0,007617896;0,030229746;0,098186215;0,411124547;0,196614268
11;9014;0,215220768;0,01364544;0,009540714;0,006323497;0,007654759;0,007987575;0,029953406;0,095074329;0,411138229;0,203461282
12;9731;0,217038331;0,014284246;0,010070907;0,004624396;0,007193505;0,007810091;0,028774021;0,096804028;0,414448669;0,198951804
13;10373;0,213053119;0,013978598;0,008676371;0,005013015;0,008097947;0,007615926;0,028053601;0,101031524;0,418586716;0,195893184
14;11004;0,207924391;0,014176663;0,008360596;0,005179935;0,006724827;0,00781534;0,029262087;0,103507815;0,421301345;0,195747001
15;11749;0,210911567;0,013958635;0,007660226;0,005106818;0,007830454;0,007489999;0,028342838;0,10817942;0,417056771;0,193463273
16;12409;0,209767105;0,013135627;0,008058667;0,004754614;0,007575147;0,006446934;0,029736482;0,111209606;0,422435329;0,18688049
17;13802;0,249239241;0,011737429;0,007680046;0,005216635;0,006520794;0,006158528;0,027677148;0,106796117;0,406607738;0,172366324
18;13600;0,197279412;0,013235294;0,006911765;0,004926471;0,006911765;0,008088235;0,030367647;0,118088235;0,442573529;0,171617647
19;14188;0,193120947;0,011065689;0,00873978;0,004581336;0,006413871;0,007471102;0,032492247;0,116436425;0,453763744;0,165914858
20;14946;0,197577947;0,011039743;0,008764887;0,003947544;0,006958384;0,007025291;0,032383246;0,114813328;0,448815737;0,168673893
21;15559;0,194099878;0,011247509;0,007776849;0,004370461;0,007391221;0,006234334;0,033292628;0,117166913;0,449836108;0,168584099
22;16681;0,216353936;0,011030514;0,007193813;0,004136443;0,006594329;0,007493556;0,031772675;0,113602302;0,439901685;0,161920748
23;16802;0,190810618;0,011010594;0,007558624;0,004344721;0,006308773;0,007201524;0,034757767;0,123556719;0,456136174;0,158314486
24;18019;0,214884289;0,012098341;0,005938176;0,004550752;0,005938176;0,006715134;0,034352628;0,120095455;0,447361119;0,14806593
