;0;1;2;3;4;5;6;7;8;9
54;6437;0,105794625;0,010719279;0,009321112;0,010253224;0,013826317;0,123038683;0,352648749;0,238620475;0,087773808
55;6464;0,099319307;0,010055693;0,008663366;0,007580446;0,015470297;0,126237624;0,353805693;0,239480198;0,09220297
56;6603;0,10389217;0,009541118;0,007572316;0,009541118;0,013781614;0,127669241;0,347720733;0,237619264;0,094199606
57;6670;0,102548726;0,008395802;0,009745127;0,007946027;0,014242879;0,132683658;0,346626687;0,237031484;0,095352324
58;6636;0,087552743;0,010096444;0,008890898;0,007233273;0,013411694;0,137884268;0,351416516;0,242163954;0,098704039
59;6758;0,093074874;0,00961823;0,009470257;0,007398639;0,017312814;0,137466706;0,347736017;0,243119266;0,099733649
60;6855;0,094967177;0,009190372;0,010357403;0,00948213;0,013129103;0,140919037;0,345149526;0,244347192;0,100802334
61;6951;0,095238095;0,008487987;0,008056395;0,009638901;0,013810962;0,141130773;0,342396777;0,247734139;0,104589268
62;7031;0,093301095;0,008533637;0,008249182;0,008675864;0,015076092;0,142653961;0,33978097;0,249751102;0,106243778
63;7107;0,092444069;0,009286619;0,008020262;0,008301674;0,01463346;0,146616012;0,338258055;0,250316589;0,103419164
64;7200;0,094305556;0,009444444;0,008888889;0,007777778;0,014444444;0,148472222;0,335416667;0,251805556;0,101388889
65;7274;0,093346164;0,008523508;0,007973605;0,008935936;0,012922739;0,150948584;0,334204014;0,252680781;0,09994501
66;7422;0,101320399;0,006736729;0,009027216;0,006601994;0,01414713;0,147803826;0,329156562;0,254109404;0,097682565
67;7358;0,086980158;0,009921174;0,00815439;0,00815439;0,015493341;0,15438978;0,336368578;0,256863278;0,09037782
68;7503;0,095028655;0,009862722;0,008263361;0,007730241;0,015727043;0,152872184;0,330934293;0,257763561;0,090497134
69;7562;0,092700344;0,00872785;0,008463369;0,007802169;0,014678656;0,156440095;0,326236445;0,261042052;0,090716742
70;7611;0,088424649;0,00748916;0,008540271;0,007357772;0,013664433;0,158586257;0,323741952;0,263171725;0,089607148
71;7702;0,09140483;0,008439366;0,007660348;0,008699039;0,015320696;0,158789925;0,322773306;0,263957414;0,089976629
72;7782;0,089180159;0,009380622;0,008866615;0,007324595;0,016576715;0,159856078;0,319069648;0,26535595;0,089694166
73;7896;0,092831814;0,009371834;0,008738602;0,007598784;0,013677812;0,157928065;0,318389058;0,263424519;0,091438703
74;7955;0,091514771;0,008296669;0,007919547;0,00867379;0,013953488;0,163796354;0,313010685;0,265241986;0,090886235
75;8047;0,091711197;0,008077544;0,007580465;0,007953275;0,01491239;0,165154716;0,309929166;0,264694917;0,091462657
76;8143;0,09394572;0,008719145;0,009455974;0,007245487;0,015473413;0,165786565;0,307380572;0,264030456;0,091244013
77;8276;0,09702755;0,007733204;0,008337361;0,006887385;0,014983084;0,164209763;0,303286612;0,265224746;0,090985984
78;8212;0,084388699;0,008280565;0,008645884;0,008158792;0,015221627;0,171091086;0,30491963;0,271919143;0,088285436
79;8289;0,084207986;0,00928942;0,008686211;0,006514658;0,015804078;0,173724213;0,303534805;0,275425262;0,088189166
80;8417;0,08791731;0,009029345;0,007841274;0,008316502;0,015444933;0,169894262;0,302007841;0,279434478;0,087560889
81;8490;0,086101296;0,009540636;0,008716137;0,00753828;0,016136631;0,173733804;0,299057715;0,283392226;0,08786808
82;8518;0,082765907;0,007630899;0,007983095;0,007865696;0,015379197;0,177858652;0,298309462;0,293848321;0,088048838
83;8581;0,081342501;0,008041021;0,007807948;0,008623704;0,015848969;0,179699336;0,296468943;0,300547722;0,088218156
84;8674;0,082314964;0,007147798;0,008185382;0,008185382;0,014180309;0,177426793;0,298362924;0,302859119;0,08600415
85;8770;0,084378563;0,009806157;0,006841505;0,008095781;0,015165336;0,176396807;0,301254276;0,302964652;0,076054732
86;8868;0,086265223;0,008006315;0,007555255;0,00631484;0,017478575;0,177830401;0,299278304;0,303337844;0,071944069
87;8945;0,085634433;0,008160984;0,008160984;0,007713807;0,016210173;0,176411403;0,300614869;0,302179989;0,066517608
88;8995;0,081267371;0,00967204;0,009449694;0,007003891;0,01700945;0,176653696;0,301056142;0,30483602;0,061589772
89;9095;0,082902694;0,00846619;0,008246289;0,008026388;0,014953271;0,173282023;0,301594283;0,30742166;0,059483233
90;304305;0,005346609;0,011126994;0,036838041;0,045875027;0,054442089;0,098187674;0,113340234;0,1426365;0,119754851
91;9409;0,095121692;0,007333404;0,007971092;0,007227123;0,016048464;0,172281858;0,302157509;0,305239664;0,04963333
92;9544;0,098491199;0,007544007;0,006915339;0,007963118;0,015088013;0,167854149;0,300922045;0,307837385;0,047988265
93;9709;0,103924194;0,008445772;0,006797816;0,007312803;0,016067566;0,164692553;0,298691935;0,309197652;0,046966732
94;9550;0,086701571;0,007748691;0,008376963;0,008167539;0,014973822;0,17434555;0,307853403;0,312670157;0,040418848
95;9661;0,089431736;0,008280716;0,008073698;0,007142118;0,014905289;0,173998551;0,309802298;0,310423352;0,038298313
96;9766;0,09062052;0,00860127;0,008191685;0,006655744;0,015768994;0,170591849;0,313127176;0,308621749;0,035633832
