,0,1,2,3,4,5,6,7,8,9
0,1302,0.06374807987711213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2419,0.05002066969822241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3416,0.04566744730679157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4273,0.0449333021296513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4736,0.04539695945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5019,0.04582586172544331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5184,0.042631172839506175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5332,0.042010502625656414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5433,0.041045462911835084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5506,0.039593171086087904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5607,0.041376850365614413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,6012,0.036593479707252165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,7259,0.03237360517977683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8715,0.029948364888123923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,10270,0.028140214216163584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,11843,0.027695685214894874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,13409,0.0243120292340965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15031,0.02401703146829885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16561,0.02203973190024757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,18151,0.02082529888160432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,19731,0.02123561907658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21247,0.020144020332282204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22740,0.019349164467897976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24242,0.018356571239996698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25774,0.019011406844106463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,27298,0.017437174884606933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,28822,0.017521337866907225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,30311,0.01735343604631982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,31727,0.016421344596085352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,33165,0.015860093472033772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,34539,0.01601088624453516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,35962,0.015933485345642623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,37312,0.015276586620926244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,38647,0.014981757963101923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,39988,0.01485445633690107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,41230,0.014819306330341984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,42511,0.013761144174448967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,43847,0.014596209546833307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,45114,0.013920290818814558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,46377,0.013627444638506157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,47615,0.013315131786201827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,48774,0.01258867429368106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,49826,0.012082045518404047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,50851,0.012625120449941987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,51809,0.013183037696153178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,52600,0.013041825095057033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,53337,0.013124097718281868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,54047,0.012877680537310119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,54822,0.012677392287767684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,55726,0.013171589563220041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,56537,0.012345897376938995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,57407,0.011444597348755378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,58432,0.011226725082146768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,59455,0.011487679757800016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,60540,0.011232243145028081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,61662,0.010638642924329408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,62902,0.011001240024164574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,64136,0.01010352999875265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,65410,0.010288946644243999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,66555,0.009540981143415221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,67840,0.009492924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,69124,0.009866327180140038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,70351,0.009253599806683629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,71632,0.009213759213759214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,72843,0.00892330079760581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,74165,0.009209195712263196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,75376,0.008716302271279983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,76642,0.009002896584118368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,77888,0.00907713640098603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,79174,0.00922019855002905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,80506,0.009701140287680422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,81652,0.009038357909175525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,82863,0.00908728865718113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,84034,0.009020158507270866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,85112,0.008600432371463483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,86165,0.00878546973829281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,87231,0.00893031147183914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,101233,0.010628945106832752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,94099,0.032274519389153974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,93004,0.02682680314825169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,93204,0.029258400926998843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,93368,0.0300317025104961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,93459,0.02479161985469564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,93954,0.022809034208229557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,94212,0.01880864433405511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,305271,0.004271614401630027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,95222,0.01296969187792737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,95637,0.011836423141671111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,96099,0.011155162904920968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,96420,0.01024683675585978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,96833,0.009986265012960458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,97237,0.00957454466921028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,97643,0.009606423399526848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,98049,0.009811420820202144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,98444,0.009589208077688838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,98826,0.00976463683646004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,99193,0.0095067192241388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,99553,0.00972346388355951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,99926,0.010017412885535296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,100267,0.009853690645975246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100556,0.009745813278173357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,100928,0.010046766011414077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,101200,0.00992094861660079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,101506,0.009979705633164542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,101751,0.009759117846507652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,102054,0.009926117545613107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,102361,0.010023348736335128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,102649,0.01015109742910306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,102879,0.010079802486416082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,103108,0.009863444155642628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
