;perfil: distancia;perfil: espesor
0;-0,05;0,012
1;0,0;0,008
2;0,05;0,015
3;0,1;0,017
4;0,15;0,016
5;0,2;0,018000000000000002
6;0,25;0,017
7;0,3;0,013999999999999999
8;0,34;0,012
9;0,35;0,0
