tf;av;max;tc;cp
0;25,1;26,7;0;23,3
1,067;37,3;52,8;1;28,1
2,133;35,4;52,9;2;43
3,2;35;53,6;3;52,7
4,267;50,3;55,3;4;56,7
5,333;55;56,4;5;58,3
6,4;55,4;56,6;6;58,8
7,467;56,1;56,9;7;59,9
8,533;56,7;57,6;8;59,1
9,6;56,3;57,5;9;59,4
10,667;56,5;57,3;10;59
11,733;56,2;56,7;11;59
12,8;56,1;57,1;12;59,2
13,867;55,6;56,5;13;58,5
14,933;55,2;56,2;14;56,2
16;54,1;55,9;15;55,5
17,067;52,7;55,5;16;55,6
18,133;52,1;55,3;17;55,8
19,2;51,8;55;18;56
20,267;51,7;54,8;19;56,1
21,333;51,8;54,6;20;56,2
22,4;52;54,4;21;56,3
23,467;52,5;54,2;22;56,3
24,533;52,8;54;23;56,2
25,6;52,7;53,9;24;56,2
26,667;52,3;53,7;25;56,1
27,733;52,2;53,5;26;56,2
28,8;52,3;53,3;27;56,2
29,867;52,4;53,1;28;56,3
30,933;52,3;53,1;29;56,4
32;52;53;30;56,4
33,067;52;52,9;31;56,3
34,133;52,2;52,9;32;56,3
35,2;52,4;52,8;33;56,2
36,267;52,4;52,8;34;56,1
37,333;52,4;52,8;35;56,1
38,4;52,3;52,7;36;56,1
39,467;52,3;52,8;37;56,1
40,533;52,2;52,9;38;56,3
41,6;51,9;53;39;56,4
42,667;52;53,2;40;56,6
43,733;52,3;53,1;41;56,7
44,8;52,8;54,5;42;56,8
45,867;53,1;53,6;43;56,8
46,933;53;53,5;44;56,6
48;52,8;53,4;45;56,7
49,067;52,9;53,5;46;56,6
50,133;52,8;53,6;47;56,7
51,2;52,7;53,5;48;56,8
52,267;52,6;53,5;49;57
53,333;52,6;53,5;50;57,1
54,4;52,5;53,6;51;57,1
55,467;52,4;53,5;52;57,1
56,533;52,5;53,5;53;57,1
57,6;52,7;53,4;54;57,1
58,667;52,9;53,3;55;57,1
59,733;53,1;53,6;56;57
60,8;53,3;54,7;57;57
61,867;53,3;54,4;58;56,9
62,933;53,1;54,6;59;56,9
64;53,1;54,3;60;56,9
65,067;53,1;54,1;61;56,9
66,133;53;54;62;56,8
67,2;52,9;54;63;56,8
68,267;52,9;54;64;56,7
69,333;52,8;53,9;65;56,8
70,4;52,8;53,9;66;56,6
71,467;52,7;53,7;67;56,4
72,533;52,5;53,5;68;56,4
73,6;50,3;72,8;69;56,2
74,667;52,4;53,4;70;56,3
75,733;52,6;53,3;71;56,2
76,8;52,7;53,2;72;56,3
77,867;52,7;53,6;73;56,3
78,933;52,7;54,1;74;56,3
80;52,8;54;75;56,3
81,067;52,8;53,7;76;56,1
82,133;52,9;53,4;77;56
83,2;52,8;53,2;78;55,9
84,267;52,7;53,1;79;55,8
85,333;52,6;53;80;55,7
86,4;52,5;52,9;81;55,6
87,467;52,5;52,9;82;55,6
88,533;52,5;52,8;83;55,5
89,6;52,4;52,7;84;55,5
90,667;52,4;52,7;85;55,6
91,733;52,4;53,2;86;55,7
92,8;52,6;53,6;87;55,8
93,867;52,7;53,2;88;56
94,933;52,8;53,1;89;56,1
96;53,3;54,2;90;56,3
97,067;54;54,5;91;56,4
98,133;53,8;54,3;92;56,6
99,2;53,7;54,2;93;56,7
100,267;53,7;54,1;94;56,8
101,333;53,6;53,9;95;56,9
102,4;53,6;53,9;96;56,9
103,467;53,6;53,9;97;56,8
104,533;53,6;53,8;98;56,7
105,6;53,5;53,7;99;56,5
106,667;53,3;53,5;100;56,3
107,733;53;53,3;101;56
108,8;53;53,1;102;55,7
109,867;52,7;52,9;103;55,4
110,933;52,6;52,8;104;55,3
112;52,3;52,8;105;55,2
113,067;52,1;52,7;106;55
114,133;51,9;52,3;107;54,9
115,2;52;52,3;108;54,9
116,267;51,9;52,2;109;54,8
117,333;52;52,2;110;54,7
118,4;51,9;52,2;111;54,8
119,467;51,9;52,2;112;54,7
120,533;51,9;52,1;113;54,6
121,6;51,8;52;114;54,6
122,667;51,7;52;115;54,6
123,733;51,7;52;116;54,5
124,8;51,6;52;117;54,4
125,867;51,5;51,9;118;54,4
126,933;51,5;51,8;119;54,3
128;51,4;51,7;120;54,3
129,067;51,3;51,5;121;54,2
130,133;51,2;51,6;122;54,1
131,2;51,2;51,4;123;54
132,267;51,2;51,4;124;54
133,333;51,2;51,5;125;54
134,4;51,2;51,5;126;53,9
135,467;51,2;51,5;127;53,8
136,533;51,1;51,4;128;53,8
137,6;51,1;51,3;129;53,8
138,667;51;51,3;130;53,8
139,733;50,9;51,3;131;53,7
140,8;50,8;51,2;132;53,5
141,867;50,4;51;133;53,5
142,933;50,5;51;134;53,3
144;50,4;50,8;135;53,2
145,067;50,1;50,6;136;53,2
146,133;50;50,4;137;53,1
147,2;49,7;50,6;138;53,2
148,267;49,4;50,4;139;53,1
149,333;49,3;50,3;140;53
150,4;49,3;50,1;141;53
151,467;49,2;50;142;53,2
152,533;48,7;49,9;143;53,3
153,6;48,8;49,7;144;53,3
154,667;48,7;49,6;145;53,4
155,733;48,6;49,7;146;53,4
156,8;48,5;50,4;147;53,4
157,867;48,6;50,3;148;53,4
158,933;48,5;50,4;149;53,5
160;48,4;50,2;150;53,5
161,067;48,3;50,1;151;53,5
162,133;48,3;50,2;152;53,5
163,2;48,1;50,1;153;53,5
164,267;48,1;50;154;53,5
165,333;48;50;155;53,5
166,4;48,2;50;156;53,6
167,467;48;50;157;53,6
168,533;47,8;50;158;53,6
169,6;48;49,9;159;53,6
170,667;48;49,8;160;53,6
171,733;47,8;49,8;161;53,6
172,8;47,7;49,8;162;53,6
173,867;47,5;49,8;163;53,6
174,933;47,5;49,6;164;53,6
176;47,4;49,7;165;53,6
177,067;47,3;49,6;166;53,6
178,133;47,2;49,6;167;53,6
