;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;24,349999999999994;0,01;0,015;0,025;0,05
2;38,51666666666666;0,02;0,02;0,04;0,06
3;53,68333333333333;0,03;0,025;0,055;0,07
4;74,85;0,04;0,027000000000000003;0,067;0,08199999999999999
5;99,85;0,05;0,03;0,08;0,095
6;130,18333333333334;0,06;0,031;0,091;0,102
7;165,18333333333334;0,07;0,032;0,102;0,11
8;195,18333333333334;0,08;0,036000000000000004;0,11599999999999999;0,115
9;230,18333333333334;0,09;0,038;0,128;0,125
10;275,18333333333334;0,1;0,04;0,14;0,135
11;320,18333333333334;0,11;0,043;0,153;0,142
12;380,18333333333334;0,12;0,047;0,16699999999999998;0,15
13;440,18333333333334;0,13;0,05;0,18;0,16
14;515,1833333333333;0,14;0,052000000000000005;0,192;0,17
15;590,1833333333333;0,15;0,055999999999999994;0,20600000000000002;0,18
16;685,1833333333333;0,16;0,057999999999999996;0,218;0,19
17;780,1833333333333;0,17;0,059000000000000004;0,22899999999999998;0,205
18;875,1833333333333;0,18;0,06;0,24;0,22
19;975,1833333333333;0,19;0,064;0,254;0,23
20;1080,8500000000001;0,2;0,068;0,268;0,24
21;1180,6833333333334;0,21;0,068;0,278;0,248
22;1386,0666666666668;0,22;0,068;0,28800000000000003;0,254
23;1541,0666666666668;0,23;0,068;0,298;0,26
24;1721,0666666666668;0,24;0,068;0,308;0,266
25;1772,4;0,25;0,068;0,318;0,27
26;2116,4;0,26;0,068;0,32799999999999996;0,275
27;2401,4;0,27;0,068;0,33799999999999997;0,28
28;2786,4;0,28;0,068;0,348;0,285
29;2971,2333333333336;0,285;0,068;0,353;0,285
30;2977,6833333333334;0,285;0,068;0,353;0,285
31;3156,6833333333334;0,28800000000000003;0,068;0,35600000000000004;0,285
32;3365,6833333333334;0,29;0,068;0,358;0,285
33;3529,6833333333334;0,292;0,068;0,36;0,285
34;3645,6833333333334;0,295;0,068;0,363;0,285
35;3796,6833333333334;0,298;0,068;0,366;0,285
36;3879,6833333333334;0,298;0,068;0,366;0,285
37;3989,6833333333334;0,299;0,068;0,36699999999999994;0,285
38;4176,683333333333;0,299;0,068;0,36699999999999994;0,285
39;4347,683333333333;0,3;0,068;0,368;0,285
40;4477,683333333333;0,3;0,068;0,368;0,285
41;4647,683333333333;0,302;0,068;0,37;0,285
42;4733,683333333333;0,302;0,068;0,37;0,285
43;4880,683333333333;0,305;0,068;0,373;0,285
44;5101,683333333333;0,305;0,068;0,373;0,285
45;5222,683333333333;0,305;0,068;0,373;0,285
46;54123,683333333334;0,33;0,068;0,39799999999999996;0,285
47;54208,683333333334;0,33;0,068;0,39799999999999996;0,285
