;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;3,5;0,01;0,01;0,02;0,045
2;8,083333333333336;0,02;0,02;0,04;0,06
3;13,166666666666664;0,03;0,025;0,055;0,07
4;19,0;0,04;0,03;0,07;0,08
5;25,0;0,05;0,034;0,084;0,095
6;33,16666666666667;0,06;0,04;0,1;0,10800000000000001
7;40,83333333333333;0,07;0,048;0,11800000000000001;0,11800000000000001
8;49,83333333333333;0,08;0,05;0,13;0,127
9;59,0;0,09;0,052000000000000005;0,142;0,138
10;69,08333333333333;0,1;0,053;0,153;0,15
11;79,41666666666667;0,11;0,055;0,165;0,16899999999999998
12;90,0;0,12;0,057999999999999996;0,17800000000000002;0,17600000000000002
13;101,41666666666666;0,13;0,059000000000000004;0,18899999999999997;0,17800000000000002
14;112,83333333333334;0,14;0,06;0,2;0,183
15;137,0;0,15;0,062;0,212;0,198
16;151,83333333333334;0,16;0,064;0,22399999999999998;0,20800000000000002
17;164,66666666666666;0,17;0,065;0,235;0,215
18;180,0;0,18;0,066;0,24600000000000002;0,222
19;195,33333333333334;0,19;0,066;0,256;0,23
20;210,5;0,2;0,067;0,267;0,23800000000000002
21;227,33333333333331;0,21;0,067;0,27699999999999997;0,242
22;242,5;0,22;0,067;0,287;0,25
23;258,3333333333333;0,23;0,067;0,297;0,258
24;275,5833333333333;0,24;0,068;0,308;0,26
25;291,5;0,25;0,068;0,318;0,27
26;316,5;0,26;0,068;0,32799999999999996;0,27399999999999997
27;356,5;0,27;0,068;0,33799999999999997;0,278
28;411,5;0,28;0,068;0,348;0,28
29;506,5;0,29;0,068;0,358;0,282
30;671,5;0,3;0,068;0,368;0,285
31;1101,5;0,31;0,068;0,37799999999999995;0,29
32;1165,8333333333333;0,32;0,068;0,38799999999999996;0,29
33;1175,0;0,32;0,068;0,38799999999999996;0,29
34;1185,0;0,32;0,068;0,38799999999999996;0,29
35;1194,0;0,32;0,068;0,38799999999999996;0,29
36;1319,0;0,322;0,068;0,39;0,29
37;1389,0;0,32299999999999995;0,068;0,39099999999999996;0,29
38;1552,0;0,325;0,068;0,39299999999999996;0,29
39;1640,0;0,327;0,068;0,395;0,29
40;1782,0;0,32799999999999996;0,068;0,39599999999999996;0,29
41;1890,0;0,32799999999999996;0,068;0,39599999999999996;0,29
42;2012,0;0,32899999999999996;0,068;0,39699999999999996;0,29
43;2144,0;0,32899999999999996;0,068;0,39699999999999996;0,29
44;2321,0;0,33;0,068;0,39799999999999996;0,29
45;2966,0;0,33799999999999997;0,068;0,4059999999999999;0,29
46;3576,0;0,33899999999999997;0,068;0,407;0,29
47;4198,0;0,34;0,068;0,408;0,29
48;4806,0;0,341;0,068;0,409;0,29
49;5411,0;0,34299999999999997;0,068;0,4109999999999999;0,29
50;6016,0;0,345;0,068;0,413;0,29
51;6650,0;0,34600000000000003;0,068;0,414;0,29
52;7241,0;0,34600000000000003;0,068;0,414;0,29
53;7581,0;0,34600000000000003;0,068;0,414;0,29
54;8176,0;0,34600000000000003;0,068;0,414;0,29
55;9180,0;0,34600000000000003;0,068;0,414;0,29
56;9381,0;0,34600000000000003;0,068;0,414;0,29
