tf;av;max
0;28,8;37,1
1;32,2;38,9
2;39,8;41,2
3;44,6;46,6
4;48,5;49,6
5;50,7;52,1
6;53,6;54,6
7;54,3;54,9
8;54,4;55
9;54,5;54,9
10;54,7;55
11;54,9;55,2
12;55,1;55,2
13;55;55,2
14;54,8;55,1
15;54,7;55,2
16;54,8;55,3
17;54,6;55,3
18;54,2;54,7
19;54;54,4
20;53,9;54,2
21;53,9;54,2
22;54;54,1
23;53,9;54
24;53,4;53,9
25;53,2;53,7
26;53;53,5
27;53;53,4
28;52,9;53,1
29;52,7;53
30;52,3;52,6
31;51,8;52,3
32;51,4;52,2
33;51;52,2
34;51;52
35;50,8;51,9
36;50,5;51,8
37;50,1;51,5
38;49,9;51,3
39;49,5;51,1
40;49;50,9
41;48,4;50,8
42;47,8;50,8
45,6;46,2;50,2
46,6;46;50
47,6;45,9;49,8
48,6;45,3;49,6
49,633;44,8;49,5
50,633;44,1;49,4
51,633;43,7;49,6
52,633;43,2;49,6
53,633;42,4;49,6
54,633;41,7;49,5
55,633;41,2;49,1
56,633;40,8;48,8
57,633;40,5;48,6
58,633;40,2;48,5
59,633;40;48,8
60,633;39,9;48,7
61,633;39,9;48,8
62,633;39,8;48,5
63,633;39,8;48,4
64,633;39,7;48,1
65,633;39,5;47,9
66,633;39,3;47,5
67,633;39,3;47,4
68,633;39,2;47,2
69,633;39,1;47,1
70,633;38,5;47,1
71,633;38,5;46,9
72,633;38,3;46,9
73,633;38,2;46,8
74,633;38,1;46,6
75,633;37,9;46,6
76,633;37,9;46,6
77,633;37,7;46,4
78,633;37,7;46,5
79,633;37,8;46,3
80,633;37,6;46,2
81,633;37,5;46,1
82,633;37,6;46
83,633;37,7;46
84,633;37,5;45,9
85,633;37,7;45,8
86,633;37,6;45,8
87,633;37,7;45,7
88,633;37,6;45,7
89,633;37,7;45,7
90,633;37,7;45,6
91,633;37,7;45,5
92,633;37,7;45,4
93,633;37,7;45,4
94,633;37,7;45,3
95,633;37,7;45,3
96,633;37,6;45,3
97,633;37,6;45,2
98,633;37,6;45,1
99,633;37,6;45
100,633;37,4;45
101,633;37,5;44,9
102,633;37,5;44,8
103,633;37,6;44,8
104,633;37,8;44,7
105,633;37,8;44,6
106,633;37,8;44,5
107,633;37,9;44,5
108,633;37,8;44,5
109,633;37,8;44,4
110,633;37,8;44,4
111,633;37,7;44,2
112,633;37,8;44,2
113,633;37,7;44,2
114,633;37,7;44
115,633;37,7;43,9
116,633;37,6;43,8
117,633;37,5;43,8
118,633;37,4;43,8
119,666;37,3;43,6
120,666;37,3;43,6
121,666;37,5;43,5
122,666;37,5;43,4
123,666;37,5;43,4
124,666;37,5;43,3
125,666;37,5;43,3
126,666;37,5;43,2
127,666;37,5;43,1
128,666;37,4;43
129,666;37,2;43
130,666;37,2;43
131,666;37,2;42,9
132,666;37,3;42,9
133,666;37,4;42,8
134,666;37,4;42,7
135,666;37,4;42,7
136,666;37,4;42,6
139,066;37,6;42,5
140,066;37,7;42,5
141,066;37,7;42,4
142,066;37,8;42,3
143,066;37,8;42,2
144,066;37,8;42,1
145,066;37,9;42,2
146,066;37,9;42
147,066;37,8;42
148,066;37,8;41,9
149,066;37,9;41,9
150,066;37,9;41,8
151,099;37,9;41,8
152,099;37,9;41,7
153,099;38;41,7
154,099;37,9;41,6
155,099;38;41,5
156,099;37,9;41,5
157,099;37,8;41,4
158,099;37,8;41,4
159,099;37,8;41,3
160,099;37,8;41,2
161,099;37,8;41,2
162,099;37,8;41,2
163,099;38;41,1
164,099;38,1;41
165,099;38,1;41
166,099;38,1;40,9
167,099;38,2;40,9
168,099;38,1;40,8
169,099;38;40,7
170,099;38;40,7
171,099;38;40,6
172,099;38,1;40,6
173,099;38,1;40,5
174,099;38,1;40,5
175,099;38,2;40,4
176,099;38,1;40,3
177,099;38;40,3
178,099;38;40,2
179,099;38;40,1
180,099;38;40,1
181,099;38;40
182,099;38;39,9
183,099;38;39,9
184,099;38;39,9
185,099;38;39,8
186,099;37,9;39,7
187,099;37,9;39,7
188,099;37,9;39,7
189,099;38,1;39,5
190,099;38,1;39,4
191,099;38,2;39,4
192,099;38,3;39,3
193,099;38,3;39,3
194,099;38,4;39,1
195,099;38,4;39,1
196,099;38,4;39,1
197,099;38,5;39,1
198,099;38,5;39,2
199,099;38,6;39,2
200,099;38,5;39,2
201,099;38,6;39,3
202,099;38,6;39,4
203,099;38,7;39,4
204,099;38,8;39,5
205,099;38,8;39,5
206,099;38,9;39,6
207,099;39;39,7
208,099;39,1;40,4
209,099;39,2;40,6
210,099;39,4;40,7
211,099;39,6;41,3
212,099;39,7;43
213,099;39,8;43,2
214,099;40,1;43,2
215,099;40,5;43,3
216,099;40,9;43,3
217,099;41,5;43,4
218,099;41,8;43,5
219,099;42,3;43,5
220,099;42,8;43,6
221,099;43,1;43,7
222,099;43,3;43,8
