tf;av;max;tc;cp
0;29,8;35,7;0;25
1;33,3;40,5;1;25,3
2;41;43,8;2;36
3;44,5;45,7;3;41,3
4;46,2;46,7;4;44,5
5;46,4;46,8;5;45,7
6;46,5;46,9;6;46,1
7;45,9;46,7;7;46,1
8;45,4;46,4;8;46,6
9;46;46,9;9;46,7
10;46,4;46,8;10;46,6
11;46,3;46,5;11;46,8
12;46,3;46,5;12;46,5
13;46,2;46,4;13;46,2
14;46;46,4;14;46,3
15;45,8;46;15;47,4
16;45,6;46,1;16;48,5
17;45,5;46,8;17;49,1
18;45,8;47,5;18;49,3
19;46,4;47,9;19;49,4
20;47;48,1;20;49,5
21;47,2;48,1;21;49,4
22;47,5;48,1;22;49,5
23;47,5;48,3;23;49,5
24;47,6;48,4;24;49,6
25;47,7;48,1;25;49,5
26;47,6;48;26;49,4
27;47,6;47,9;27;49,4
28;47,5;48,1;28;49,4
29;47,3;48;29;49,3
30;47,7;48,7;30;49,4
31;47,8;48,3;31;49,3
32;47,7;48,2;32;49,3
33;47,6;48,2;33;49,2
34;47,8;48,4;34;49,1
35;47,8;48,3;35;49,1
36;47,9;48,5;36;49,2
37;47,9;48,5;37;49,1
38;47,7;48,3;38;49
39;47,8;48,2;39;49
40;47,7;48,1;40;49
41;47,6;48;41;49,1
42;47,6;48;42;49,1
43;47,5;48,2;43;49
44;47,5;48,1;44;49
45;47,5;48,2;45;48,9
46;47,5;47,9;46;48,9
47;47,5;47,7;47;48,9
48;47,4;47,9;48;48,8
49;47,4;47,8;49;48,8
50;47,2;47,8;50;48,8
51;47,1;47,7;51;48,7
52;46,9;47,6;52;48,7
53;47;47,3;53;48,7
54;47;47,3;54;48,7
55;47;47,4;55;48,7
56;46,8;47,4;56;48,6
57;47;47,3;57;48,7
58;47,1;47,4;58;48,7
59;47,1;47,3;59;48,6
60;47,2;47,8;60;48,6
61;47,4;48,1;61;48,5
62;47,3;47,8;62;48,6
63;47,1;47,5;63;48,5
64;47,1;47,4;64;48,5
65;47;47,3;65;48,5
66;47;47,4;66;48,5
67;46,9;47,3;67;48,4
68;46,9;47,1;68;48,4
69;46,9;47,2;69;48,4
70;46,9;47,2;70;48,3
71;46,9;47,2;71;48,3
72;46,8;47;72;48,3
73;46,8;47;73;48,3
74;46,8;47,1;74;48,3
75;46,8;47,1;75;48,2
76;46,7;47,2;76;48,2
77;46,6;47,1;77;48,2
78;46,7;47;78;48,2
79;46,4;47;79;48,1
80;46,5;47;80;48,2
81;46,5;46,8;81;48,1
82;46,6;46,9;82;48,1
83;46,5;47;83;48,1
84;46,6;47;84;48,1
85;46,6;47,1;85;48,1
86;46,6;47,1;86;48
87;46,8;47,1;87;47,9
88;46,9;47,1;88;47,9
89;46,8;47,1;89;47,8
90;46,7;47,1;90;47,8
91;46,6;47,1;91;47,9
92;46,6;47,2;92;48
93;46,7;47,3;93;48,1
94;46,7;47,3;94;48,1
95;46,8;47,2;95;48,3
96;46,8;47,2;96;48,4
97;46,7;47,1;97;48,6
98;46,7;47,1;98;48,7
99;46,5;47,2;99;48,8
100;46,8;47,3;100;49
101;47;47,3;101;49,2
102;47,3;47,7;102;49,4
103;47,4;47,9;103;49,5
104;47,4;47,8;104;49,7
105;47,4;47,8;105;49,7
106;47,4;47,8;106;49,7
107;47,4;47,7;107;49,7
108;47,3;47,7;108;49,9
109;47,2;47,7;109;50,1
110;47,5;47,9;110;50,4
111;48;48,5;111;50,6
112;48,2;48,6;112;50,6
113;48,4;48,9;113;50,7
114;48,8;49,1;114;50,8
115;48,9;49,4;115;50,7
116;48,9;49,4;116;50,6
117;48,8;49,5;117;50,4
118;48,4;49,3;118;50,3
119;48,5;49,4;119;50
120;48,4;49,4;120;49,7
121;48,5;49,4;121;49,6
122;48,5;49,3;122;49,3
123;48,5;49,4;123;49,2
124;48,5;49,2;124;49
125;48,5;49,1;125;48,9
126;48,4;49;126;48,8
127;48,2;48,8;127;48,7
128;48;48,8;128;48,5
129;48;48,6;129;48,4
130;47,9;48,6;130;48,3
131;47,8;48,3;131;48,2
132;47,6;48,2;132;48,1
133;47,5;48,1;133;48,1
134;47,5;48,1;134;48
135;47,5;48;135;48
136;47,4;47,9;136;47,9
137;47,4;47,8;137;47,8
138;47,3;47,7;138;47,7
139;47,3;47,8;139;47,6
140;47,2;47,6;140;47,5
141;47;47,6;141;47,3
142;46,7;47,3;142;47,3
143;46,6;47,3;143;47,3
144;46,5;47,2;144;47,3
145;46,4;47;145;47,3
146;46,2;47;146;47,3
147;45,9;46,9;147;47,3
148;46;46,9;148;47,3
149;45,8;46,9;149;47,3
150;45,9;46,8;150;47,2
151;45,7;46,8;151;47,2
152;45,6;46,8;152;47,2
153;45,5;46,7;153;47,2
154;45,3;46,6;154;47,2
155;45,1;46,7;155;47,2
156;45,1;46,7;156;47,3
157;45,2;46,7;157;47,3
158;44,8;46,6;158;47,3
159;44,6;46,6;159;47,3
160;44,6;46,7;160;47,3
161;44,6;46,6;161;47,3
162;44,5;46,6;162;47,3
163;44,4;46,6;163;47,3
164,033;44,3;46,6;164;47,3
165,033;44,1;46,5;165;47,3
166,033;44,2;46,6;166;47,3
167,033;44,3;46,7;167;47,3
168,033;44,1;46,6;168;47,3
169,033;44,1;46,6;169;47,3
170,033;44,3;46,5;170;47,3
171,033;44,3;46,5;171;47,3
172,033;44,3;46,4;172;47,3
173,033;44,2;46,4;173;47,3
174,033;44,2;46,5;174;47,3
