;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;0,43333333333333;0,01;0,012;0,002;0,02
2;3,43333333333333;0,02;0,025;0,005;0,05
3;6,166666666666664;0,03;0,038;0,008;0,07
4;8,833333333333336;0,04;0,05;0,01;0,08
5;12,0;0,05;0,061;0,011000000000000001;0,095
6;15,5;0,06;0,073;0,013000000000000001;0,11
7;19,83333333333333;0,07;0,084;0,013999999999999999;0,11800000000000001
8;24,16666666666667;0,08;0,095;0,015;0,128
9;28,83333333333333;0,09;0,106;0,016;0,138
10;33,16666666666667;0,1;0,11699999999999999;0,017;0,142
11;38,33333333333333;0,11;0,128;0,018000000000000002;0,152
12;42,83333333333333;0,12;0,14;0,02;0,16
13;48,83333333333333;0,13;0,151;0,021;0,168
14;54,16666666666667;0,14;0,163;0,023;0,17600000000000002
15;60,16666666666667;0,15;0,174;0,024;0,185
16;67,5;0,16;0,18600000000000003;0,026000000000000002;0,192
17;72,83333333333333;0,17;0,19699999999999998;0,027000000000000003;0,2
18;78,5;0,18;0,20800000000000002;0,027999999999999997;0,20800000000000002
19;86,5;0,19;0,22;0,03;0,212
20;94,83333333333334;0,2;0,231;0,031;0,22
21;103,83333333333334;0,21;0,243;0,033;0,22399999999999998
22;113,5;0,22;0,255;0,035;0,23
23;121,5;0,23;0,266;0,036000000000000004;0,235
24;131,5;0,24;0,278;0,038;0,24
25;142,16666666666666;0,25;0,29;0,04;0,24600000000000002
26;151,5;0,26;0,302;0,042;0,25
27;173,5;0,27;0,314;0,044000000000000004;0,26
28;216,16666666666669;0,28;0,326;0,046;0,27
29;302,1666666666667;0,29;0,33799999999999997;0,048;0,275
30;455,5;0,3;0,35;0,05;0,275
31;684,5;0,31;0,36;0,05;0,275
32;1106,6333333333334;0,32;0,37;0,05;0,275
