FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
0;1186;0,254637437;0,038785835;0,019392917;0,030354132;0,027824621;0,022765599;0,054806071;0,180438449;0,370994941
1;1495;0,240802676;0,041471572;0,020735786;0,024080268;0,032107023;0,030769231;0,068896321;0,228762542;0,312374582
2;1858;0,221743811;0,034983854;0,021528525;0,020452099;0,031754575;0,037136706;0,076964478;0,220129171;0,334230355
3;2192;0,199361314;0,034671533;0,022354015;0,013686131;0,028740876;0,031934307;0,090328467;0,284671533;0,291058394
4;2541;0,190869736;0,03227076;0,017709563;0,017709563;0,024399843;0,03227076;0,086186541;0,321920504;0,276269185
5;2902;0,186767746;0,031702274;0,016195727;0,015161957;0,027911785;0,028256375;0,081667815;0,3356306;0,274638181
6;3255;0,174193548;0,02764977;0,013824885;0,018740399;0,023655914;0,030414747;0,086943164;0,355760369;0,267895545
7;3630;0,164187328;0,027548209;0,016528926;0,011294766;0,023415978;0,028650138;0,086501377;0,366942149;0,270523416
8;4016;0,162350598;0,026643426;0,012201195;0,013695219;0,023904382;0,028884462;0,081424303;0,390687251;0,258466135
9;4335;0,153863899;0,023529412;0,014763552;0,012687428;0,021222607;0,0272203;0,095963091;0,410149942;0,238523645
10;4645;0,146393972;0,022820237;0,014639397;0,010548977;0,021743811;0,027556512;0,118406889;0,394833154;0,241980624
11;4948;0,139652385;0,022231205;0,012732417;0,011721908;0,018391269;0,029506871;0,125909458;0,391471302;0,248383185
12;5271;0,136975906;0,021817492;0,013280212;0,009485866;0,022007209;0,027888446;0,126920888;0,394991463;0,246632518
13;5584;0,12965616;0,021131805;0,011640401;0,011819484;0,017729226;0,031876791;0,128581662;0,399534384;0,248030086
14;5911;0,125528675;0,020301133;0,013872441;0,010658095;0,018609372;0,029944172;0,1331416;0,389274234;0,258670276
15;6228;0,1231535;0,019267823;0,012202954;0,011400128;0,019588953;0,034200385;0,136640976;0,38985228;0,253692999
16;6538;0,119455491;0,017283573;0,012083206;0,011777302;0,018507189;0,036708474;0,13643316;0,398286938;0,249464668
17;6848;0,115508178;0,017523364;0,013434579;0,00890771;0,018983645;0,037091121;0,147634346;0,402307243;0,238609813
18;7125;0,109894737;0,018526316;0,011649123;0,00954386;0,019508772;0,037754386;0,162807018;0,410526316;0,219789474
19;7407;0,105710814;0,016740921;0,011610639;0,010800594;0,017550965;0,040772242;0,17672472;0,420683138;0,199405967
20;7744;0,107179752;0,018724174;0,010201446;0,009555785;0,018595041;0,040160124;0,18401343;0,420454545;0,191115702
21;8018;0,104390122;0,0160888;0,010850586;0,010850586;0,017834872;0,042529309;0,191319531;0,424045897;0,182090297
22;8343;0,106436534;0,016420952;0,008989572;0,011027208;0,0174997;0,041711615;0,191657677;0,42274961;0,183507132
23;8576;0,098880597;0,014808769;0,012593284;0,009095149;0,01795709;0,043726679;0,197527985;0,43306903;0,172341418
24;8895;0,098482293;0,017088252;0,01079258;0,009668353;0,016413716;0,042945475;0,196627319;0,441034289;0,166947723
25;9188;0,097736178;0,01643448;0,00957771;0,008380496;0,019373095;0,041902481;0,202329125;0,449934697;0,154331737
26;9498;0,097494209;0,015371657;0,009791535;0,00968625;0,017582649;0,042640556;0,202253106;0,451568751;0,153611287
27;9798;0,095223515;0,015309247;0,009491733;0,010308226;0,016431925;0,04531537;0,202184119;0,462339253;0,143396612
28;10082;0,094028963;0,014778814;0,009025987;0,00922436;0,018845467;0,045526681;0,207300139;0,460821266;0,140448324
29;10389;0,092982963;0,014245837;0,009914332;0,009625566;0,017326018;0,04697276;0,212243719;0,452979113;0,143709693
30;10662;0,090320765;0,01453761;0,009848059;0,009191521;0,016507222;0,049240293;0,217688989;0,454136185;0,138529357
31;10955;0,089365586;0,014879051;0,008489274;0,008945687;0,017617526;0,051300776;0,220629849;0,473573711;0,115198539
32;11229;0,086205361;0,013803544;0,009083623;0,008104016;0,018701576;0,052809689;0,22432986;0,490604684;0,096357645
33;11497;0,084369836;0,014264591;0,008610942;0,008436984;0,018178655;0,05410107;0,230929808;0,504827346;0,076280769
34;11778;0,083375785;0,013414841;0,008660214;0,008914926;0,018169469;0,054932926;0,236033282;0,503481066;0,07301749
35;12090;0,085690653;0,0127378;0,008850289;0,008933002;0,017948718;0,055996691;0,243424318;0,487014061;0,079404467
36;12351;0,083070197;0,013278277;0,009230022;0,008744231;0,017974253;0,057809084;0,251558578;0,475346126;0,082989232
37;12592;0,079891995;0,012229987;0,009132783;0,008100381;0,018583227;0,060038119;0,261277001;0,475778272;0,074968234
38;12909;0,079789294;0,012704315;0,00929584;0,007669068;0,017971958;0,062127198;0,26082578;0,473468123;0,076148424
39;13208;0,079497274;0,014006663;0,007949727;0,007571169;0,018473652;0,064733495;0,257419746;0,473803755;0,076544518
40;13501;0,079401526;0,012295386;0,008073476;0,008295682;0,018591215;0,066291386;0,262647211;0,477149841;0,067254277
41;13757;0,077415134;0,011485062;0,008868213;0,00806862;0,01911754;0,066947736;0,269462819;0,473940539;0,064694337
42;14012;0,074578932;0,011704253;0,008849558;0,007921781;0,018840993;0,071581502;0,276049101;0,467599201;0,062874679
43;14330;0,076413119;0,013049546;0,007397069;0,008094906;0,01995813;0,069783671;0,281646895;0,457292394;0,066364271
44;14601;0,07561126;0,011848504;0,007807684;0,008424081;0,019039792;0,07246079;0,286555715;0,453941511;0,064310664
45;14871;0,07477641;0,011566135;0,007867662;0,008002152;0,019904512;0,073633246;0,29029655;0,448658463;0,065294869
46;15137;0,07392482;0,011693202;0,007597278;0,008257911;0,019818987;0,075972782;0,292660369;0,443020414;0,067054238
47;15361;0,069396524;0,013280385;0,007746891;0,007291192;0,020701777;0,079421913;0,297506673;0,440010416;0,064644229
48;15626;0,069563548;0,011967234;0,007679509;0,007999488;0,020926661;0,081466786;0,297580955;0,434276206;0,068539613
49;15930;0,07131199;0,010797238;0,008286252;0,008160703;0,020590082;0,081544256;0,293534212;0,430822348;0,074952919
50;16162;0,068927113;0,01157035;0,00717733;0,007857938;0,021470115;0,083838634;0,299529761;0,43094914;0,068679619
51;16435;0,069120779;0,010830545;0,007970794;0,007788257;0,020261637;0,085062367;0,307879525;0,425433526;0,065652571
52;16699;0,068147793;0,011138392;0,007725013;0,007725013;0,021258758;0,086472244;0,31480927;0,412360022;0,070363495
53;16953;0,067126762;0,011384416;0,007019407;0,008258125;0,020645314;0,088243969;0,318232761;0,407479502;0,071609745
54;17204;0,06655429;0,011043943;0,0071495;0,008253894;0,02173913;0,088642176;0,321378749;0,408509649;0,066728668
55;17482;0,066639973;0,01081112;0,007493422;0,007722229;0,021450635;0,088777028;0,322388743;0,406589635;0,068127217
56;17759;0,06678304;0,01075511;0,00754547;0,007432851;0,021960696;0,089194211;0,321189256;0,407849541;0,067289825
57;17980;0,063793103;0,011179088;0,006896552;0,008008899;0,021913237;0,090711902;0,324860957;0,405895439;0,066740823
58;18267;0,064214157;0,011386654;0,007335633;0,00744512;0,022171128;0,091750151;0,324355395;0,406634915;0,064706848
59;18533;0,064749366;0,010953434;0,006798683;0,007769924;0,021798953;0,094534074;0,326120973;0,406248314;0,061026277
60;18800;0,064574468;0,011276596;0,006595745;0,007925532;0,022074468;0,096329787;0,331329787;0,399095745;0,060797872
61;19048;0,063681226;0,010447291;0,007454851;0,006772365;0,023099538;0,097700546;0,342345653;0,387599748;0,060898782
62;19279;0,062295762;0,009907153;0,008558535;0,006379999;0,023445199;0,101561284;0,35847295;0,368276363;0,061102754
63;19604;0,063558457;0,01040604;0,0076515;0,00729443;0,023107529;0,100234646;0,363650275;0,359263416;0,064833707
64;19859;0,062490558;0,010574551;0,00684828;0,00815751;0,022458331;0,103429176;0,383251926;0,335968578;0,066821089
65;20122;0,061723487;0,010784216;0,007007256;0,007703012;0,022761157;0,10520823;0,393300865;0,32302952;0,068482258
66;20400;0,062009804;0,010637255;0,006813725;0,007843137;0,022745098;0,105539216;0,401029412;0,314166667;0,069215686
67;20701;0,063378581;0,010627506;0,007101106;0,006956186;0,023477127;0,104825854;0,402830781;0,310274866;0,070527994
68;20908;0,061220585;0,009996174;0,006504687;0,007796059;0,023483834;0,108714368;0,408743065;0,304285441;0,069255787
69;21182;0,060664715;0,010244547;0,007459163;0,006514966;0,024407516;0,109149278;0,409357001;0,304503824;0,06769899
70;21458;0,0611893;0,009926368;0,007130208;0,007130208;0,024419797;0,10909684;0,409451021;0,304874639;0,06678162
71;21718;0,060180495;0,010452159;0,007044848;0,007229027;0,024910213;0,110645547;0,412284741;0,303941431;0,063311539
72;21961;0,059833341;0,009380265;0,007103502;0,007649925;0,024816721;0,113382815;0,415281636;0,302126497;0,060425299
73;22241;0,060024279;0,010700958;0,006339643;0,007238883;0,025853154;0,112360056;0,415718718;0,302819118;0,058945191
74;22480;0,059341637;0,010097865;0,00658363;0,007295374;0,026379004;0,115435943;0,415925267;0,303336299;0,055604982
75;22759;0,060152028;0,010018015;0,006195351;0,007601388;0,025835933;0,116437453;0,415088536;0,303044949;0,055626346
76;23012;0,059490701;0,009342952;0,006474883;0,007517817;0,026812098;0,118329567;0,414435946;0,301060316;0,05653572
77;23275;0,059162191;0,009194415;0,0067884;0,007303974;0,026723953;0,118367347;0,414564984;0,298861439;0,059033298
78;23517;0,05842582;0,009567547;0,006633499;0,00735638;0,02746949;0,11931794;0,415614237;0,295700982;0,059914105
79;23746;0,057188579;0,009138381;0,007116988;0,007664449;0,027330919;0,12103091;0,416449086;0,297397456;0,056683231
80;24000;0,056416667;0,009666667;0,006708333;0,00725;0,0285;0,1205;0,417958333;0,29525;0,05775
81;24252;0,056366485;0,009195118;0,007298367;0,007050965;0,029028534;0,121598219;0,417697509;0,294120073;0,05764473
82;24563;0,058380491;0,008834426;0,007124537;0,00696169;0,028783129;0,120791434;0,41619509;0,29226886;0,060660343
83;25344;0,060645518;0,009627525;0,006392045;0,007417929;0,028172348;0,118844697;0,414812184;0,288233902;0,065853851
84;25666;0,062612016;0,009857399;0,006623549;0,006896283;0,02774098;0,118795293;0,411711993;0,287851633;0,067910855
85;25838;0,059756947;0,009714374;0,006463349;0,007237402;0,028407771;0,124893568;0,41411874;0,28775447;0,061653379
86;26059;0,058674546;0,009094747;0,006485283;0,006677156;0,029471584;0,126865958;0,416784988;0,286695575;0,059250163
87;26323;0,058959845;0,009003533;0,007066064;0,005964366;0,030125746;0,127493067;0,413820613;0,287581203;0,059985564
88;26560;0,057756024;0,009186747;0,00625;0,007718373;0,029066265;0,127371988;0,415775602;0,286521084;0,060353916
89;26830;0,057398435;0,009727917;0,006410734;0,007118897;0,029556467;0,126910175;0,415654119;0,285464033;0,061759225
90;27128;0,059053377;0,009399882;0,006450899;0,006672073;0,029784724;0,125442347;0,413705397;0,284797995;0,064693306
91;27368;0,058352821;0,008915522;0,006065478;0,0074905;0,029413914;0,12613271;0,41278135;0,286137094;0,064710611
92;27608;0,057555781;0,008765575;0,006628513;0,006845842;0,030389742;0,12630397;0,414155317;0,293538105;0,055817154
93;27889;0,057943992;0,009250959;0,006561727;0,007242999;0,029724981;0,127505468;0,415432608;0,294811574;0,051525691
94;28134;0,0571195;0,009703562;0,006220232;0,007215469;0,030816805;0,128847658;0,417217601;0,294234734;0,04862444
95;28407;0,057732249;0,009047066;0,006864505;0,007005316;0,03016862;0,129932763;0,416235435;0,295807371;0,047206674
96;28637;0,05681461;0,009218843;0,006564933;0,007053812;0,030170758;0,13377798;0,416454238;0,294164892;0,045779935
97;28819;0,054686145;0,009125924;0,006662271;0,006835768;0,030847705;0,137999237;0,417502342;0,290988584;0,045352025
98;29078;0,055299539;0,008941468;0,006878052;0,006706101;0,031329527;0,137870555;0,419182887;0,28891258;0,04487929
99;29292;0,053837225;0,009183395;0,006349857;0,007681278;0,031646866;0,140789294;0,424825891;0,283183122;0,042503073
100;29602;0,055367881;0,009256131;0,006553611;0,007229241;0,031855956;0,141172894;0,428281873;0,279170326;0,041112087
101;29858;0,055429031;0,008674392;0,006463929;0,007468685;0,031951236;0,143144216;0,421796503;0,287896041;0,037175966
102;30104;0,054809992;0,00893569;0,006842944;0,007009035;0,031989104;0,145096997;0,423133138;0,284480468;0,037702631
103;30324;0,054049598;0,009266588;0,00596887;0,006826276;0,033471837;0,145495317;0,423459966;0,295805303;0,025656246
104;30581;0,054412871;0,008534711;0,006114908;0,00752101;0,032896243;0,14616919;0,42304045;0,296360485;0,024950132
105;30824;0,054211004;0,008662081;0,006164028;0,007331949;0,03341552;0,146282118;0,424377109;0,294283675;0,025272515
106;31021;0,052319397;0,008897199;0,006318301;0,006995261;0,035492086;0,147577448;0,424776764;0,292318107;0,025305438
107;31288;0,053055485;0,008693429;0,005880849;0,007351061;0,034486065;0,14807594;0,42259013;0,294106367;0,025760675
108;31500;0,052095238;0,00831746;0,006920635;0,006920635;0,034952381;0,151365079;0,420730159;0,294571429;0,024126984
109;31773;0,053032449;0,008718094;0,005570768;0,007364744;0,034809429;0,152487961;0,417933466;0,296446669;0,023636421
110;31940;0,050939261;0,008046337;0,006011271;0,007232311;0,035316218;0,15748278;0,418378209;0,293362555;0,023231058
111;32222;0,051486562;0,008503507;0,006734529;0,006734529;0,036000248;0,157314878;0,415802868;0,292967538;0,024455341
112;32435;0,050624326;0,008386003;0,00622784;0,007091105;0,035825497;0,160567288;0,41415138;0,293479266;0,023647295
113;32720;0,051497555;0,008496333;0,006112469;0,00702934;0,03594132;0,163111247;0,409566015;0,297585575;0,020660147
114;32951;0,051591757;0,00779946;0,006646232;0,007222846;0,036326667;0,163120998;0,410700737;0,300051592;0,01653971
115;33165;0,050595507;0,008412483;0,006030454;0,006814413;0,037539575;0,167495854;0,410673903;0,29886929;0,013568521
116;33437;0,051589556;0,008134701;0,006370189;0,006639352;0,036785597;0,167090349;0,410293986;0,299368963;0,013727308
117;33623;0,050055022;0,008208667;0,006037534;0,00731642;0,038069179;0,172530708;0,410106177;0,29414389;0,013532403
