FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
1;1494;0,105087015;0,036144578;0,032797858;0,034136546;0,03815261;0,052878179;0,12248996;0,558902276;0,019410977
2;2236;0,084525939;0,033542039;0,025939177;0,02549195;0,026833631;0,046511628;0,163237925;0,475402504;0,118515206
3;2853;0,075008763;0,029092184;0,02383456;0,025236593;0,02383456;0,039256923;0,152821591;0,480897301;0,150017525
4;3378;0,071343991;0,026050918;0,021314387;0,021906454;0,023682652;0,037004144;0,219656602;0,419775015;0,159265838
5;3994;0,061342013;0,024036054;0,021532298;0,019278918;0,021782674;0,040811217;0,209063595;0,461692539;0,140460691
6;4636;0,058239862;0,022433132;0,021354616;0,018981881;0,022001726;0,038610871;0,177523727;0,524805867;0,116048318
7;5269;0,055038907;0,021635984;0,017650408;0,020117669;0,020687037;0,036439552;0,160941355;0,529512241;0,137976846
8;5924;0,053511141;0,020762998;0,018230925;0,016880486;0,022451047;0,038487508;0,153443619;0,508440243;0,167792032
9;6724;0,051606187;0,02230815;0,01635931;0,01635931;0,022903034;0,041493159;0,148126115;0,523349197;0,157495538
10;7359;0,052181003;0,020383204;0,016850116;0,015763011;0,02133442;0,039679304;0,16129909;0,484712597;0,187797255
11;8006;0,051461404;0,019235573;0,016612541;0,014988758;0,021483887;0,039470397;0,156257807;0,476392705;0,204096927
12;8599;0,047912548;0,018141644;0,016513548;0,015350622;0,019188278;0,042911967;0,178160251;0,458541691;0,203279451
13;9179;0,044994008;0,018302647;0,015796928;0,013400153;0,020917311;0,044776119;0,178015034;0,477285107;0,186512692
14;9777;0,044594456;0,016671781;0,014523883;0,014728444;0,019944768;0,046435512;0,18717398;0,443387542;0,212539634
15;10383;0,041606472;0,017528653;0,014157758;0,012424155;0,019840123;0,04671097;0,213136858;0,432341327;0,202253684
16;10993;0,039661603;0,017192759;0,013645047;0,013372146;0,018466297;0,047211862;0,202856363;0,429182207;0,218411717
17;11566;0,038042538;0,015303476;0,014352412;0,012450285;0,018675428;0,047380252;0,197388898;0,432388034;0,224018675
18;12173;0,038117145;0,015361866;0,013554588;0,013225992;0,016594102;0,049700156;0,203154522;0,41337386;0,236917769
20;17562;0,031773147;0,012470106;0,011445166;0,012242341;0,017196219;0,051873363;0,213187564;0,474775083;0,175037012
21;18165;0,031268924;0,01315717;0,010955133;0,012056152;0,017010735;0,052628682;0,217561244;0,497054776;0,148307184
22;18756;0,031136703;0,012476008;0,01087652;0,01215611;0,016421412;0,051823417;0,204787801;0,521273193;0,139048838
23;19326;0,030063127;0,012625479;0,010555728;0,012004553;0,01635103;0,050501915;0,204543103;0,516454517;0,146900548
24;19918;0,029671654;0,012953108;0,009689728;0,011898785;0,015814841;0,050707902;0,206496636;0,511547344;0,151220002
25;20499;0,028489195;0,01258598;0,010244402;0,010976145;0,016732524;0,047660862;0,204448998;0,543977755;0,124884141
26;21094;0,029297431;0,01232578;0,009813217;0,010950981;0,016355362;0,046932777;0,204939793;0,592443349;0,07694131
27;21669;0,028150815;0,012829388;0,009368222;0,011675666;0,015690618;0,04762564;0,210069685;0,574415063;0,090174904
28;22210;0,027194957;0,011886538;0,010445745;0,010535795;0,016208915;0,047276002;0,216884286;0,612922107;0,046645655
29;22781;0,027303455;0,01106185;0,010403406;0,01035951;0,015846539;0,046705588;0,217154646;0,633247004;0,027918002
30;23371;0,027341577;0,011509991;0,009584528;0,01065423;0,015788798;0,044884686;0,226134954;0,637371101;0,016730136
31;23932;0,026909577;0,011114825;0,009610563;0,010446264;0,016212602;0,044375731;0,23934481;0,636135718;0,005849908
32;24465;0,02546495;0,011158798;0,009278561;0,010423053;0,015614143;0,04443082;0,244389945;0,638054363;0,001185367
34;25366;0,019120082;0,010801861;0,008751873;0,011550895;0,017976819;0,057478515;0,387566033;0,486753923;0
35;26189;0,026537859;0,011226087;0,008667761;0,010920616;0,015044484;0,040627744;0,251326893;0,633739356;0,001909199
36;26750;0,027065421;0,010728972;0,009009346;0,010280374;0,015140187;0,04;0,248598131;0,639102804;7,48E-05
37;27235;0,025298329;0,010060584;0,009583257;0,010097301;0,015017441;0,040499357;0,264843033;0,624600698;0
38;27762;0,024565953;0,009797565;0,009473381;0,009761545;0,015416757;0,040883222;0,279122542;0,610979036;0
39;28338;0,024278354;0,01104524;0,008186887;0,010657068;0,015068106;0,03955819;0,287246806;0,603959348;0
40;28867;0,023937368;0,011119964;0,008210067;0,00976894;0,015450168;0,039110403;0,298195171;0,592406554;0,001801365
41;29405;0,023533413;0,010542425;0,00874001;0,009454174;0,015269512;0,038666893;0,309437171;0,581363714;0,002992688
42;29952;0,023704594;0,010116186;0,008480235;0,01028312;0,014322917;0,038428152;0,323985043;0,565137553;0,005542201
43;30489;0,023319886;0,009478828;0,008691659;0,010397192;0,014661025;0,038669684;0,333333333;0,555085441;0,006362951
44;31051;0,02357412;0,009597114;0,008856398;0,009339474;0,015104183;0,038259637;0,336993978;0,550030595;0,008244501
45;31613;0,02375605;0,009426502;0,008983646;0,009268339;0,014645874;0,038212128;0,344826495;0,537563661;0,013317306
46;32154;0,023200846;0,009610002;0,00852149;0,009578902;0,014554954;0,037849101;0,359986316;0,526217578;0,010480811
47;32687;0,023189647;0,009147367;0,008627283;0,009422706;0,014501178;0,038333282;0,382292655;0,504023006;0,010462875
48;33342;0,022314198;0,009357567;0,008817707;0,008937676;0,015445984;0,037220323;0,40711415;0,476606082;0,014186312
49;33896;0,022510031;0,009322634;0,008437574;0,00941114;0,014898513;0,03690701;0,425182912;0,457340099;0,015990087
50;34415;0,021996223;0,009588842;0,007729188;0,009472614;0,014557606;0,037803283;0,458491937;0,421386024;0,018974284
