tf;av;max;tc;cp
0;43;46,2;0;34,9
1,033;43;46,1;1;35,1
2,033;43,8;46,3;2;36,6
3,033;43,8;54,6;3;44
4,033;51,1;55,4;4;49,8
5,033;54,9;55,9;5;52,6
6,033;55,4;56;6;53,9
7,033;55;56;7;55
8,033;55,4;56,5;8;55,6
9,033;55,9;56,6;9;56,1
11,967;56,4;57,1;10;56,4
13;56,4;57;11;56,7
14;56,2;56,6;12;57
15;56,3;57,1;13;57,4
16;56,7;57,5;14;57,8
17;57;57,9;15;58,4
18;57,2;58;16;58,6
19;57,2;58,5;17;58,5
20;57,2;58,4;18;58,4
21;57;57,4;19;58,3
22;56,7;57,3;20;58,3
23;56,6;57,2;21;58,1
24;56,4;56,9;22;58,1
25;56,3;56,7;23;58,1
26;56,1;56,6;24;58,1
27;56,1;56,4;25;58
28;55,9;56,3;26;58
29;55,7;56,1;27;57,8
30;55,5;55,9;28;57,4
31;55,4;55,7;29;56,7
32;55,2;55,5;30;56,4
33;54,9;55,2;31;56
34;54,5;55;32;55,6
35;54,3;54,8;33;55,2
36;54,1;54,5;34;55,1
37;53,8;54,5;35;54,9
38;53,4;53,9;36;54,7
39;53;53,7;37;54,4
40;52,5;53,5;38;54,3
41;52,3;53,4;39;54,2
42;52,2;53,3;40;54,1
43;52,2;53,2;41;54,1
44;52,1;53,1;42;54
45;51,9;53;43;54
46;51,6;52,9;44;54
47;51,4;52,7;45;53,9
48;51,1;52,6;46;53,8
49;50,4;52,5;47;53,8
50;50,6;52,4;48;53,8
52,767;50,2;52,1;49;53,7
53,767;50,2;52;50;53,7
54,767;50;51,8;51;53,7
55,767;49,4;51,7;52;53,7
56,767;49,6;51,8;53;53,7
57,767;49,9;51,5;54;53,7
58,767;50,2;51,4;55;53,6
59,767;50,2;51,4;56;53,6
60,767;50;51,3;57;53,6
61,767;50;51,3;58;53,6
62,767;49,8;51,4;59;53,6
63,767;49,4;51,2;60;53,6
64,767;49,8;51,1;61;53,7
65,767;49,9;51,1;62;53,7
66,767;49,7;51;63;53,7
67,767;49,7;51,2;64;53,7
68,767;49,7;51,9;65;53,7
69,767;49,7;51,4;66;53,7
70,767;49,7;51,2;67;53,7
71,767;49,9;53,5;68;53,7
72,767;50,1;53,1;69;53,8
73,767;50,3;52,8;70;53,7
74,767;50,2;52,7;71;53,7
75,767;50,2;52,5;72;53,7
76,767;50,3;52,3;73;53,8
77,767;50,2;52,1;74;53,8
78,767;50;51,9;75;53,7
79,767;50,1;51,8;76;53,6
80,767;49,9;51,6;77;53,6
81,767;50,2;51,4;78;53,6
82,767;50,3;51,3;79;53,6
83,767;50,2;51,4;80;53,6
84,767;50,2;51,3;81;53,6
85,767;50,1;51,4;82;53,6
86,767;50,1;51,4;83;53,6
87,767;50;51,3;84;53,6
88,767;50;51,3;85;53,6
89,767;50;51,2;86;53,6
90,767;50,3;51,1;87;53,6
91,767;50,4;51,1;88;53,6
92,767;50,3;51;89;53,5
93,767;50,2;50,9;90;53,5
97,533;49,9;51,1;91;53,5
98,533;50;51;92;53,5
99,533;50;50,9;93;53,5
100,533;50;50,9;94;53,5
101,533;49,8;51;95;53,5
102,533;49,3;51;96;53,5
103,533;49,1;50,8;97;53,5
104,533;49,3;50,8;98;53,5
105,533;49,6;50,8;99;53,5
106,533;49,6;50,9;100;53,5
107,533;49,4;50,9;101;53,5
108,566;49,4;50,9;102;53,5
109,566;49,5;50,9;103;53,4
110,566;49,5;50,8;104;53,4
111,566;49,2;50,7;105;53,5
112,566;49,4;50,7;106;53,4
113,566;49,5;50,7;107;53,4
114,566;49,7;50,9;108;53,4
115,566;49,8;50,9;109;53,4
116,566;49,9;51;110;53,4
117,566;50;50,9;111;53,4
118,566;50;50,9;112;53,4
119,566;50,1;50,9;113;53,4
120,566;50;50,8;114;53,4
121,566;50;50,8;115;53,4
122,566;49,9;50,8;116;53,4
123,566;49,9;50,7;117;53,4
124,566;49,9;50,8;118;53,3
125,566;49,8;50,7;119;53,3
126,566;49,8;50,8;120;53,3
127,566;49,7;50,6;121;53,3
128,566;49,8;50,6;122;53,3
129,566;49,8;50,7;123;53,3
130,566;49,7;50,7;124;53,3
131,566;49,9;50,7;125;53,3
132,566;50;50,7;126;53,3
133,566;50,1;50,8;127;53,3
134,566;50,2;50,9;128;53,3
135,566;50,1;50,8;129;53,2
136,566;50;50,8;130;53,2
137,566;50,1;50,9;131;53,2
138,566;49,9;50,6;132;53,2
139,566;49,8;50,6;133;53,2
140,566;49,8;50,6;134;53,2
141,566;49,9;50,6;135;53,2
142,566;49,8;50,6;136;53,2
145,266;49,5;50,7;137;53,2
146,266;49,6;50,7;138;53,2
147,266;49,4;50,7;139;53,2
148,266;49,5;51,7;140;53,2
149,266;49,6;51,2;141;53,2
150,266;49,5;50,9;142;53,2
151,266;49,5;50,5;143;53,2
152,266;49,5;50,5;144;53,2
153,266;49,6;50,6;145;53,2
154,266;49,8;50,5;146;53,2
155,266;49,6;51,1;147;53,2
156,266;49,6;50,9;148;53,2
157,266;49,6;50,6;149;53,2
158,266;49,6;50,6;150;53,2
159,266;49,5;50,8;151;53,2
160,266;49,5;50,7;152;53,2
161,266;49,6;50,4;153;53,2
162,266;49,7;50,6;154;53,2
163,266;49,8;50,5;155;53,1
164,266;49,8;50,6;156;53,1
165,266;49,8;50,7;157;53,1
166,266;49,9;50,8;158;53,1
167,266;49,8;50,9;159;53,2
168,266;49,7;50,9;160;53,2
169,266;50;50,9;161;53,2
170,266;49,9;50,8;162;53,2
171,266;49,8;50,8;163;53,2
172,266;49,7;50,7;164;53,2
173,266;49,6;50,6;165;53,2
174,266;49,5;50,7;166;53,1
175,266;49,5;50,6;167;53,1
176,266;49,8;50,7;168;53,1
177,266;50;50,8;169;53,1
178,266;49,8;50,7;170;53,1
179,266;49,7;50,7;171;53,1
180,266;49,4;50,7;172;53,2
181,266;49,4;50,6;173;53,2
182,266;49,5;50,5;174;53,1
183,266;49,5;50,8;175;53,1
184,266;49,5;50,6;176;53,1
185,266;49,5;50,5;177;53,1
186,266;49,6;50,3;178;53,1
187,266;49,5;50,2;179;53,1
188,266;49,5;50,4;180;53,1
189,266;49,2;50,2;181;53
190,266;49,6;50,3;182;53,1
191,266;49,6;50,4;183;53
192,266;49,4;50,4;184;53
193,266;49,4;50,4;185;53,1
194,266;49,4;50,4;186;53,1
195,266;49,4;50,3;187;53,1
196,266;49,2;50,3;188;53,1
197,266;49;50,2;189;53,1
199,966;49,6;50,6;190;53
200,966;49,7;50,7;191;53
201,966;49,7;50,7;192;53
202,966;49,9;51;193;53
203,966;50,1;50,8;194;53
204,966;50,1;50,7;195;53
205,966;50,2;50,8;196;53
206,966;50,1;50,8;197;53
207,966;50,1;50,8;198;53
208,966;50,2;50,8;199;53
209,966;50,3;50,7;200;53
210,966;50,1;50,6;201;53
211,966;49,9;50,6;202;53
212,966;49,9;50,5;203;52,9
213,966;49,8;50,5;204;53
214,966;49,8;50,5;205;53,1
215,966;49,7;50,4;206;53,1
216,966;49,9;50,2;207;53,1
217,966;49,9;50,3;208;53,1
218,966;49,9;50,3;209;53,1
219,966;49,6;50,3;210;53,1
220,966;49,8;50,3;211;53,2
221,966;49,7;50,5;212;53,2
222,966;49,8;50,7;213;53,2
223,966;49,9;50,8;214;53,2
224,966;50;50,9;215;53,3
225,966;50,2;50,9;216;53,3
226,966;50,1;50,9;217;53,3
227,966;50,3;51,1;218;53,3
228,966;50,3;50,9;219;53,3
229,966;50,2;50,8;220;53,4
230,966;50;50,8;221;53,4
231,966;50;50,8;222;53,4
232,966;50,4;51,2;223;53,5
233,966;50,7;51,5;224;53,5
234,966;50,9;51,6;225;53,5
235,966;51,1;51,7;226;53,5
236,966;51,2;51,8;227;53,5
237,966;51,2;51,8;228;53,5
238,966;51,2;51,8;229;53,6
239,966;51,3;51,9;230;53,6
240,966;51,5;52,1;231;53,7
241,966;51,3;52,2;232;53,7
242,966;51,3;52;233;53,7
243,966;51,3;52;234;53,7
244,966;51,4;52,2;235;53,7
245,966;51,6;52,1;236;53,7
246,966;51,6;52,2;237;53,8
247,966;51,7;52,2;238;53,8
248,966;51,8;52,3;239;53,8
249,966;52;52,3;240;53,8
250,966;51,8;52,2;241;53,8
251,966;51,9;52,3;242;53,8
252,966;51,8;52,4;243;53,8
253,966;51,8;52,3;244;53,7
254,966;51,5;52,1;245;53,7
255,966;51,5;52;246;53,7
256,966;51,5;51,9;247;53,7
257,966;51,4;51,9;248;53,7
258,966;51,3;51,9;249;53,7
259,966;51,1;51,8;250;53,7
260,966;51;51,5;251;53,7
261,966;51;51,6;252;53,7
262,966;49,2;71,5;253;53,7
264,633;51,1;51,5;254;53,6
265,633;51,1;51,7;255;53,6
266,633;50,7;51,4;256;53,6
267,633;50,9;51,4;257;53,6
268,633;51,2;51,6;258;53,5
269,633;51,1;51,7;259;53,5
270,633;50,9;51,6;260;53,6
271,633;50,9;51,6;261;53,5
272,633;51;51,5;262;53,5
273,633;51;51,6;263;53,5
274,633;51,2;51,6;264;53,5
275,633;51,2;51,6;265;53,5
276,633;51,1;51,4;266;53,4
277,633;50,9;51,3;267;53,4
278,633;50,6;51,1;268;53,3
279,633;50,2;50,9;269;53,3
280,633;50,4;50,9;270;53,2
281,633;50,5;50,8;271;53,2
282,633;50,1;50,6;272;53,1
283,633;50;50,3;273;53,1
284,633;49,6;49,9;274;53
285,633;49,6;49,8;275;52,9
286,633;49,7;49,9;276;52,9
287,633;49,6;49,9;277;52,8
288,633;49,4;49,7;278;52,8
289,633;49,2;49,4;279;52,8
290,633;49,2;49,4;280;52,7
291,633;49,1;49,4;281;52,7
292,633;48,9;49,1;282;52,7
293,633;48,7;49,1;283;52,7
294,633;48,8;49;284;52,7
295,633;48,7;49,1;285;52,7
296,633;48,7;49;286;52,7
297,633;48,4;48,8;287;52,7
298,633;48,4;48,8;288;52,6
299,633;48,3;48,7;289;52,6
300,633;48,3;48,7;290;52,6
301,633;48,3;48,7;291;52,6
302,633;48,4;48,8;292;52,6
303,633;48,2;48,7;293;52,6
304,633;47,9;48,5;294;52,6
305,633;47,9;48,5;295;52,6
306,633;48;48,6;296;52,6
307,633;47,7;48,5;297;52,6
308,633;47,5;48,1;298;52,6
309,633;47,4;48;299;52,6
310,633;47,6;48,1;300;52,6
311,633;47,5;48,1;301;52,6
312,633;47,3;48,1;302;52,6
313,633;47,3;48,1;303;52,6
314,633;47,3;48;304;52,5
315,633;47,3;47,9;305;52,5
316,633;47,3;47,8;306;52,5
317,633;47,2;47,9;307;52,5
318,633;47,1;48;308;52,5
319,633;47;47,7;309;52,5
320,633;47;47,8;310;52,5
321,633;46,8;47,6;311;52,5
322,633;46,9;47,6;312;52,5
323,633;46,8;47,7;313;52,5
324,633;46,8;47,7;314;52,5
325,633;46,8;47,6;315;52,5
326,633;46,8;47,6;316;52,5
327,633;46,7;47,7;317;52,5
328,633;46,6;47,6;318;52,5
329,633;46,6;47,7;319;52,4
330,633;46,8;47,6;320;52,4
331,633;46,7;47,6;321;52,4
332,633;46,7;47,6;322;52,4
333,633;46,5;47,6;323;52,4
334,633;46,5;47,4;324;52,4
335,633;46,4;47,6;325;52,4
336,633;46,6;47,3;326;52,4
337,633;46,6;47,3;327;52,4
338,633;46,6;47,2;328;52,4
339,633;46,3;47,1;329;52,4
340,633;46,4;47,2;330;52,4
344,233;46,2;47;331;52,4
345,233;46;47;332;52,4
346,233;45,9;47,1;333;52,4
347,233;45,9;47;334;52,3
348,233;45,8;47;335;52,3
349,233;45,8;47,1;336;52,3
350,233;45,7;47,1;337;52,3
351,233;45,8;47;338;52,3
352,233;45,7;47,1;339;52,3
353,233;45,7;47,1;340;52,3
354,233;45,6;47;341;52,3
355,233;45,6;46,9;342;52,3
356,233;45,8;47;343;52,3
357,233;45,9;47;344;52,2
358,233;45,9;46,7;345;52,2
359,233;45,8;46,8;346;52,2
360,233;45,8;46,8;347;52,2
361,233;45,8;46,9;348;52,2
362,233;45,8;46,8;349;52,2
363,233;45,7;46,8;350;52,2
364,233;45,5;46,9;351;52,2
365,233;45,5;46,8;352;52,1
366,233;45,6;46,7;353;52,1
367,233;45,4;46,5;354;52,1
368,233;45,5;46,4;355;52,1
369,233;45,5;46,6;356;52,1
370,233;45,4;46,7;357;52,1
371,233;45,3;46,7;358;52
372,233;45,2;46,4;359;52
373,233;45,2;46,4;360;52
374,233;45,3;46,4;361;52
375,233;45,2;46,5;362;52
376,233;45,3;46,5;363;52
377,233;45,1;46,5;364;51,9
378,233;45,2;46,5;365;51,9
379,233;45,1;46,6;366;51,9
380,233;45;46,5;367;51,9
381,233;45;46,4;368;51,9
382,233;45,1;46,4;369;51,8
383,233;45;46,3;370;51,8
384,233;45,1;46,4;371;51,8
385,233;45;46,5;372;51,8
386,233;45;46,4;373;51,8
387,233;45,1;46,4;374;51,7
388,233;45,1;46,4;375;51,7
389,233;45,1;46,4;376;51,7
390,233;44,8;46,4;377;51,7
391,233;45;46,6;378;51,6
392,233;44,9;46,5;379;51,6
393,233;45;46,5;380;51,6
394,233;44,9;46,4;381;51,6
395,233;44,9;46,3;382;51,5
396,233;44,9;46,2;383;51,5
397,233;44,8;46;384;51,5
398,233;45;46;385;51,5
399,233;45;46,1;386;51,4
400,233;45;46,1;387;51,4
401,233;45;46,1;388;51,4
402,233;44,8;46,1;389;51,4
403,233;44,8;46;390;51,4
404,233;44,8;46,1;391;51,3
405,233;44,8;46;392;51,3
406,233;44,9;46;393;51,3
407,233;44,8;45,7;394;51,2
408,233;44,8;45,9;395;51,2
409,233;44,9;46;396;51,2
410,233;44,7;46;397;51,2
411,233;44,7;46;398;51,1
412,233;44,5;46;399;51,1
