tf;av;max
0;22,9;23,6
1;23,3;24
2,033;25,2;27,2
3,033;51,5;56,2
5,833;57,4;57,9
6,833;58,1;58,7
7,833;58,2;58,9
8,833;58,2;59
9,833;57,9;58,9
10,833;58;58,9
11,833;58,1;59,4
12,833;58,2;59,2
13,833;58,4;59,2
14,833;58,4;59,2
15,833;58,5;59,3
16,833;58,7;59,6
17,833;58,8;59,7
18,833;58,7;59,8
19,833;58,9;59,8
20,833;59,2;59,9
21,833;59,4;60,1
22,833;59,7;60,4
23,833;59,6;60,7
24,833;59,6;60,7
25,833;59,9;60,8
26,833;60;60,7
27,833;59,6;60,3
28,833;59,7;60,4
29,833;59,6;60,2
30,833;59,1;60,4
31,833;59,3;60,4
32,833;59,4;60,2
33,833;59;60,3
34,833;59,2;60,2
35,833;59,5;60,3
36,833;59,4;60,4
37,833;59,3;60,3
38,833;59,3;60,1
39,833;59,2;60,1
40,833;59,3;60
41,833;59,3;60
42,833;59,3;60,1
43,833;59,3;60
44,833;59,2;59,9
45,833;59,2;59,9
46,833;59,3;59,9
47,833;59,3;59,9
48,833;59,3;59,9
49,833;59,2;59,7
50,833;58,8;59,6
51,833;58,6;59,5
52,866;58,7;59,3
53,866;58,6;59,1
54,866;58,5;59,1
55,866;58,4;59
56,866;58,3;58,9
57,866;58,3;58,7
58,866;58,4;58,9
59,866;58,4;58,9
60,866;58,2;58,8
61,866;57,7;58,5
62,866;57,8;58,4
63,866;58;58,3
64,866;57,8;58,1
65,866;57,6;58
66,866;57,3;57,9
67,866;57,2;57,9
68,866;57,2;57,5
69,866;56,9;57,7
70,866;56,7;57,5
71,866;57;57,6
72,866;57,2;57,7
73,866;57,1;57,5
74,866;56,9;57,5
75,866;56,9;57,6
76,866;56,7;57,5
77,866;56,4;57,3
78,866;56,5;57,2
79,866;56,7;56,9
80,866;56,8;57,2
81,866;56,8;57,2
82,866;56,7;57,3
83,866;56,5;57,3
84,866;56,5;57,3
85,866;56,9;57,3
86,866;56,9;57,6
87,866;57;58
88,866;57;57,8
89,866;56,9;57,6
90,866;56,6;57,6
91,866;57;57,8
92,866;57,1;57,4
93,866;57,2;57,6
94,866;57,3;57,7
95,866;57,5;58
96,866;57,5;57,9
97,866;57,4;57,8
98,866;57,3;57,9
99,866;57;57,9
100,866;56,9;57,5
101,866;56,4;57,6
102,866;56,3;57,5
103,866;56,4;57,5
104,866;56,5;57,6
105,866;56,6;57,2
106,866;56,7;57,7
107,866;56,4;57,6
108,866;56,5;57,8
109,866;57,1;57,9
110,866;57,1;57,8
111,866;57,2;58
112,866;57,2;57,7
113,866;57,3;57,7
114,866;57,5;58
115,866;57,8;58,3
116,866;58;58,6
117,866;57,8;58,6
118,866;57,7;58,5
119,866;57,9;58,6
120,866;57,7;58,4
121,866;57,9;58,3
122,866;57,8;58,6
123,866;58;58,5
124,866;57,9;58,5
125,866;57,3;58,3
126,866;57,5;58,2
127,866;57,4;58
128,866;57,5;58,2
129,866;57,5;58,4
130,866;57,5;58,4
131,866;57,3;59,7
132,866;57,3;59,3
133,866;57,3;58,9
134,866;57,3;58,7
135,866;57,2;58,2
136,866;57,2;57,8
137,866;57,5;57,9
138,866;57,8;58,3
139,866;49,4;69,9
141,133;58;58,5
142,133;58;58,4
143,133;57,9;58,4
144,133;58,1;58,5
145,133;57,9;58,1
146,133;57,5;57,9
147,133;57,8;58,1
148,133;57,8;58,2
149,133;57,9;58,3
150,133;57,7;58,1
151,133;57,7;58,1
152,133;56,9;57,7
153,133;57,1;57,6
154,133;57;57,5
155,133;57;57,2
156,133;56,6;57,1
157,133;56,6;57,1
158,133;56,1;56,8
159,133;56,2;56,8
160,133;55,9;56,3
161,133;55,7;56
162,133;55,5;55,9
163,133;54,9;55,8
164,133;54,2;55,5
165,133;54,1;55,5
166,133;53,9;55,2
167,133;53,6;54,8
168,133;53;54,4
169,133;53;54,6
170,133;52,7;54,7
171,133;53;54,5
172,133;53,1;54,5
173,133;52,9;54,5
174,133;53,1;54,3
175,133;53,3;54,3
176,133;53,4;54,2
177,133;53,2;54,2
178,133;53,4;53,9
179,133;53,2;53,9
180,133;53,3;53,8
181,133;53,3;54
182,133;53,4;54,2
183,133;53,6;54,4
184,133;53,6;54,4
185,133;53,6;54,2
186,133;53,2;54,2
187,133;53,1;54
188,133;53,2;54
189,133;53,3;53,9
190,133;53,5;53,8
191,133;53,4;53,9
192,133;53,3;54
193,133;53,1;53,9
194,133;53;53,8
195,133;53,2;53,7
196,133;53,2;53,6
197,133;52,6;53,2
198,133;52,8;53,4
199,133;52,4;53,1
200,133;52;53,4
201,133;52,4;53,5
202,133;52,2;53,6
203,133;52,2;53,2
204,133;52;53,4
205,166;51,9;53,4
206,166;52,5;53,2
207,166;52,3;53,4
208,166;52,1;53,1
209,166;52,4;52,9
210,166;52,3;53
211,166;52,4;53
212,166;52,4;52,9
213,166;52,2;52,9
214,166;52,2;53
215,166;51,8;52,7
216,166;51,4;52,8
217,166;51,9;52,7
218,166;51,8;52,9
219,166;52;52,8
220,166;51,8;52,8
221,166;51,9;52,8
222,166;51,8;52,8
223,166;51,9;52,7
224,166;52;52,6
225,166;51,7;52,8
226,166;51,5;52,7
227,166;51,4;52,7
228,166;51,5;52,8
229,166;51,5;52,7
230,166;51,7;52,5
231,166;51,6;52,3
232,166;51,6;52,4
233,166;51,6;52,4
234,166;51,3;52,4
235,166;51,6;52,5
236,166;51,5;52,4
237,166;51,6;52,6
238,166;51,6;52,4
239,166;51,3;52,4
240,166;51,1;52,4
241,166;51;52,2
242,166;50,4;52,1
243,166;50,9;52,2
244,166;51,2;52,1
245,166;51;52,2
246,166;51;52
247,166;51;51,9
248,166;50,2;51,7
249,166;50,6;51,6
250,166;50,7;51,6
251,166;50,8;52,6
252,166;50,6;52,7
253,166;50,6;52,6
254,166;50,8;52,5
255,166;50,3;52,3
256,166;50,3;52,4
257,166;50,1;52,2
258,166;50,1;52,2
259,166;50,3;52,1
260,166;50;52
261,166;50,1;51,9
262,166;50,3;51,8
263,166;50,4;51,9
264,166;50,3;51,7
265,166;50,3;51,6
266,166;50,3;51,6
267,166;50,4;51,6
268,166;50,5;51,5
269,166;50,4;51,6
270,166;50,7;51,7
271,166;50,5;51,8
272,166;50,8;51,8
273,166;50,9;51,9
274,166;50,8;51,8
275,166;50,7;51,9
276,166;50,5;52
277,166;50,6;52
278,166;50,3;51,8
279,166;50,5;51,9
280,166;50,2;51,6
281,166;50;51,6
282,166;50;51,3
283,166;50,1;51,6
284,166;50,1;51,4
285,166;50,2;51,4
286,166;50,3;51,4
287,166;50,3;51,3
288,166;50,1;51,3
289,166;50;51,1
290,166;49,8;51,1
291,166;49,4;50,8
292,166;49,7;50,6
293,166;52;72
295,299;49,2;50,6
296,299;49,1;50,7
297,299;48,7;50,6
298,299;48,7;50,5
299,299;48,6;50,6
300,299;48,5;50,5
301,299;48,4;50,5
302,299;48,5;50,5
303,299;48,6;50,5
304,299;48,6;50,5
305,299;48,5;50,5
306,299;48,1;50,4
307,299;48,1;50,4
308,299;47,9;50,4
309,299;47,8;50,4
310,299;47,8;50,4
311,299;47,6;50,3
312,299;47,8;50,4
313,299;47,5;50,3
314,299;47,4;50,2
315,299;47,7;50,2
316,299;47,6;50,2
317,299;47,6;50,1
318,299;47,5;50,1
319,299;47,6;50,1
320,299;47,4;50,1
321,299;47,5;50,1
322,299;47,2;50,1
323,299;47,4;50,1
324,299;47,6;50,1
325,299;47,6;50
326,299;47,5;50
327,299;47,4;50
328,299;47,3;50
329,299;47,4;50
330,299;47;50
331,299;46,9;49,9
332,299;46,8;49,9
333,299;46,7;49,9
334,299;46,7;49,9
335,299;46,7;49,9
336,299;46,5;49,8
337,299;46,6;49,8
338,299;46,5;49,8
339,299;46,7;49,8
340,299;46,6;49,7
341,299;46,5;49,7
342,299;46,5;49,7
343,299;46,7;49,7
344,299;46,5;49,7
345,299;46,7;49,6
346,299;46,6;49,6
347,299;46,5;49,6
348,299;46,7;49,5
349,299;46,7;49,6
