;perfil: distancia;perfil: espesor
0;-0,068;0,0
1;-0,064;0,008
2;-0,03;0,012
3;0,0;0,01
4;0,05;0,013999999999999999
5;0,1;0,016
6;0,15;0,017
7;0,2;0,019
8;0,25;0,017
9;0,3;0,016
10;0,33;0,008
11;0,332;0,0
