FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
0;577;0,180242634;0,076256499;0,039861352;0,041594454;0,058925477;0,154246101;0,305025997;0,143847487;0
1;1423;0,139142656;0,073085032;0,035839775;0,049894589;0,049191848;0,133520731;0,366830639;0,152494729;0
2;2264;0,128091873;0,060954064;0,034010601;0,045936396;0,042402827;0,118374558;0,345848057;0,224381625;0
3;3005;0,120798669;0,061896839;0,031946755;0,039600666;0,040599002;0,11014975;0,316139767;0,278868552;0
4;3639;0,092058258;0,048364935;0,024457268;0,033525694;0,032976092;0,101676285;0,314097279;0,335531739;0,017312448
5;4274;0,080018718;0,040243332;0,023163313;0,026438933;0,026672906;0,089143659;0,284510997;0,377164249;0,052643893
6;4946;0,074807926;0,033966842;0,019409624;0,024666397;0,022240194;0,08350182;0,244035584;0,425596442;0,071775172
7;5586;0,069101325;0,029538131;0,017722879;0,021840315;0,022556391;0,085034014;0,218403151;0,443609023;0,092194773
8;6214;0,063727068;0,028001287;0,01577084;0,020920502;0,023173479;0,080141616;0,195526231;0,471194078;0,101544899
9;6815;0,060748349;0,026852531;0,014380044;0,020396185;0,02054292;0,070286134;0,191636097;0,478650037;0,116507704
10;7439;0,056996908;0,026213201;0,013173814;0,019357441;0,022314827;0,058610028;0,190617018;0,519559081;0,093157682
11;8101;0,056783113;0,021972596;0,013825454;0,018886557;0,016788051;0,055795581;0,189606221;0,565979509;0,060362918
12;8689;0,052940499;0,021981816;0,012429509;0,014961446;0,018183911;0,052940499;0,201749338;0,604212222;0,02060076
13;9242;0,048041549;0,021532136;0,009846354;0,015905648;0,016446657;0,053018827;0,207314434;0,625081151;0,002813244
14;9838;0,048383818;0,018499695;0,009351494;0,015653588;0,014332181;0,052348038;0,21833706;0,623094125;0
15;10394;0,044063883;0,018087358;0,008466423;0,013565519;0,014046565;0,053203771;0,255724456;0,592842024;0
