tf;av;max;tc;cp
0;29,6;35;0;26,9
1;37,4;35,1;1;27,3
2;44,1;35,2;2;40,2
3;47,5;35,1;3;42,5
4;48,6;34,9;4;46,3
5;50;35;5;48,7
6;50,3;71;6;50,1
7;50,6;35,1;7;51,1
8;50,2;35,1;8;51,8
9;49,7;35,2;9;52,3
10;49,8;35,1;10;52,7
11;50,2;35,1;11;53,2
12;50,3;35,1;12;53,4
13;50,6;35,1;13;53,1
14;50,8;35,2;14;52,9
15;51;35,2;15;53,1
16;51,2;35,3;16;53,2
17;51,2;35,2;17;53,2
18;51,2;35,4;18;53,1
19;51,2;35,4;19;53,1
20;51,3;35,4;20;53,1
21;51,3;35,4;21;53
22;51,3;35,4;22;53
25,766;50,8;35,4;23;52,9
26,766;50,5;35,4;24;52,9
27,766;50,4;35,4;25;52,7
28,766;50,2;35,4;26;52,5
29,766;50,1;35,4;27;52,1
30,766;49,9;35,4;28;51,7
31,766;49,7;35,4;29;51,6
32,766;49,5;35,4;30;51,5
33,766;49,2;35,5;31;51,5
34,766;49;37,2;32;51,4
35,766;48,9;47;33;51,4
36,766;48,8;48,3;34;51,4
37,766;48,5;49,5;35;51,4
38,766;48,3;50,4;36;51,4
39,766;48;50,8;37;51,3
40,766;48;50,8;38;51,3
41,766;48;51;39;51,3
42,766;48,1;50,9;40;51,3
43,766;48,3;50,8;41;51,3
44,766;48,3;50,6;42;51,3
45,766;48,4;51;43;51,3
46,766;48,4;51,1;44;51,3
47,766;48,5;51,1;45;51,2
48,766;48,4;51,3;46;51,2
49,766;48,5;51,6;47;51,2
50,766;48,5;51,8;48;51,2
51,766;48,6;51,7;49;51,2
52,766;48,7;51,5;50;51,2
53,766;48,7;51,4;51;51,2
54,766;48,8;51,5;52;51,2
55,766;48,8;51,6;53;51,2
56,766;48,8;51,5;54;51,2
57,766;48,7;51;55;51,2
58,766;48,6;50,8;56;51,2
59,766;48,6;50,6;57;51,2
60,766;48,6;50,5;58;51,2
61,766;48,6;50,4;59;51,2
62,766;48,6;50,3;60;51,2
63,766;48,6;50,1;61;51,2
64,766;48,6;50;62;51,2
65,766;48,7;49,7;63;51,2
66,766;48,7;49,5;64;51,1
67,766;48,7;49,4;65;51,1
68,766;48,6;49,3;66;51,2
69,766;48,7;49,2;67;51,2
70,766;48,6;49,1;68;51,2
71,766;48,6;48,9;69;51,2
72,766;48,6;48,6;70;51,1
73,766;48,5;48,7;71;51,2
74,766;48,5;48,8;72;51,2
75,766;48,5;48,9;73;51,2
76,766;48,5;48,9;74;51,2
77,766;48,5;49;75;51,2
78,766;48,5;49;76;51,2
79,766;48,5;49;77;51,2
80,766;48,5;48,9;78;51,1
81,766;48,5;48,9;79;51,2
84,4;48,5;48,9;80;51,1
85,433;48,6;48,9;81;51,1
86,433;48,6;48,9;82;51,1
87,433;48,6;48,9;83;51,1
88,433;48,6;48,9;84;51,1
89,433;48,6;49;85;51,1
90,433;48,6;49;86;51,2
91,433;48,6;48,9;87;51,2
92,433;48,7;48,9;88;51,2
93,433;48,7;49;89;51,1
94,433;48,7;49;90;51,1
95,433;48,7;49;91;51,1
96,433;48,8;49,1;92;51,1
97,433;48,7;49,1;93;51,1
98,433;48,7;49,2;94;51,1
99,433;48,8;49;95;51,1
100,433;48,8;49,1;96;51,1
101,433;48,7;49;97;51,1
102,433;48,7;49;98;51,1
103,433;48,6;49,6;99;51,1
104,433;48,6;49,4;100;51,1
105,433;48,6;49,5;101;51,1
106,433;48,6;49,2;102;51,1
107,433;48,6;49,1;103;51
108,433;48,6;49;104;51
109,433;48,6;49;105;51,1
110,433;48,6;49;106;51
111,433;48,6;48,9;107;51
112,433;48,5;48,9;108;51
113,433;48,5;48,8;109;51
114,433;48,5;48,7;110;51
115,433;48,5;48,7;111;51
116,433;48,5;48,8;112;51
117,433;48,5;48,8;113;51
118,433;48,5;48,8;114;51
119,433;48,6;48,8;115;51
120,433;48,6;48,8;116;51
121,433;48,5;48,7;117;51
122,433;48,5;48,8;118;51
123,433;48,5;48,9;119;51
124,433;48,5;48,9;120;51
125,433;48,6;48,9;121;51
126,433;48,7;49,2;122;51
127,433;48,7;49,3;123;51
128,433;48,7;49,1;124;50,9
129,433;48,7;49,3;125;50,9
130,433;48,7;49,1;126;50,9
131,433;48,7;49,2;127;50,9
132,433;48,7;49,1;128;50,9
133,433;48,6;49;129;50,9
134,433;48,6;49;130;50,9
135,433;48,6;48,9;131;50,9
136,433;48,6;48,8;132;50,9
137,433;48,6;48,8;133;50,9
138,433;48,6;48,8;134;50,9
139,433;48,6;48,8;135;50,9
140,433;48,6;48,8;136;50,9
141,466;48,6;48,8;137;50,9
142,466;48,6;48,8;138;50,9
143,466;48,5;48,8;139;50,9
144,466;48,5;48,7;140;50,9
145,466;48,5;48,7;141;50,9
146,466;48,6;49;142;50,9
147,466;48,6;49,1;143;50,9
