FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
0;409;0,91198044;0,08801956;0;0;0;0;0;0;0
1;505;0,712871287;0,162376238;0,124752475;0;0;0;0;0;0
2;542;0,614391144;0,132841328;0,10701107;0,145756458;0;0;0;0;0
3;613;0,566068515;0,110929853;0,078303426;0,148450245;0,096247961;0;0;0;0
4;698;0,491404011;0,097421203;0,083094556;0,140401146;0,181948424;0,005730659;0;0;0
5;796;0,43718593;0,100502513;0,061557789;0,123115578;0,164572864;0,105527638;0,007537688;0;0
6;883;0,394110985;0,092865232;0,057757644;0,101925255;0,141562854;0,115515289;0,096262741;0;0
7;984;0,37195122;0,080284553;0,056910569;0,085365854;0,116869919;0,111788618;0,176829268;0;0
8;1075;0,337674419;0,080930233;0,053953488;0,067906977;0,108837209;0,100465116;0,188837209;0,061395349;0
9;1187;0,326032013;0,073294019;0,042965459;0,074136479;0,088458298;0,088458298;0,167649537;0,139005897;0
10;1259;0,303415409;0,068308181;0,046068308;0,058776807;0,08816521;0,082605242;0,146942017;0,170770453;0,034948372
11;1345;0,294423792;0,062453532;0,043122677;0,052788104;0,078810409;0,078810409;0,134572491;0,178438662;0,076579926
12;1430;0,279020979;0,061538462;0,041258741;0,051048951;0,072027972;0,069230769;0,120979021;0,190909091;0,113986014
13;1529;0,275997384;0,057553957;0,033355134;0,051667757;0,064748201;0,060170046;0,119686069;0,189012426;0,145192937
14;1575;0,253333333;0,053968254;0,033015873;0,05015873;0,060952381;0,062857143;0,114285714;0,201904762;0,166984127
15;1666;0,25030012;0,055822329;0,025810324;0,046818727;0,057022809;0,054621849;0,110444178;0,211284514;0,172869148
16;1728;0,23900463;0,046296296;0,032986111;0,046296296;0,047453704;0,054398148;0,112268519;0,226851852;0,179976852
17;1801;0,229317046;0,048861743;0,029428096;0,038867296;0,05330372;0,050527485;0,112159911;0,233759023;0,184342032
18;1859;0,215169446;0,04464766;0,028509952;0,041958042;0,047337278;0,046261431;0,116729424;0,251748252;0,185045724
19;1973;0,223010644;0,037506336;0,032437912;0,030410542;0,046629498;0,046629498;0,110998479;0,250886974;0,192093259
20;2195;0,211845103;0,033712984;0,019589977;0,033257403;0,040546697;0,038724374;0,117084282;0,284738041;0,207289294
21;2259;0,207613988;0,034528552;0,016378929;0,028773794;0,04249668;0,038512616;0,121292607;0,300132802;0,208056662
22;2324;0,203528399;0,030981067;0,018502582;0,026678141;0,043889845;0,036574871;0,126936317;0,317555938;0,19535284
23;2371;0,196119781;0,031632223;0,018135808;0,025727541;0,03838043;0,043019823;0,133698861;0,334036272;0,179249262
24;2393;0,185123276;0,031759298;0,017133305;0,026744672;0,039281237;0,043877977;0,141663184;0,353531132;0,160885917
25;2455;0,187372709;0,032586558;0,015071283;0,024847251;0,03910387;0,040325866;0,149490835;0,361710794;0,149490835
26;2503;0,185377547;0,028365961;0,017578905;0,022373152;0,039552537;0,041150619;0,155013983;0,378345985;0,13224131
27;2560;0,183203125;0,027734375;0,017578125;0,025390625;0,03125;0,04609375;0,158203125;0,387109375;0,1234375
28;2620;0,180152672;0,023664122;0,01870229;0,022900763;0,034351145;0,041984733;0,166793893;0,387022901;0,124427481
29;2695;0,176252319;0,030797774;0,009276438;0,021521336;0,034508349;0,040816327;0,173654917;0,388497217;0,124675325
30;2766;0,170643529;0,028561099;0,01120752;0,021330441;0,032899494;0,041937816;0,174981923;0,394432393;0,124005785
31;2832;0,167725989;0,022951977;0,011652542;0,018361582;0,03460452;0,038488701;0,186087571;0,399717514;0,120409605
32;2897;0,159130135;0,024162927;0,011736279;0,018639972;0,029340697;0,040386607;0,188816017;0,411114946;0,11667242
33;3010;0,167109635;0,018604651;0,010631229;0,019933555;0,027906977;0,039534884;0,185714286;0,413289037;0,117275748
34;3052;0,152359109;0,020642202;0,009174312;0,0163827;0,030799476;0,039646134;0,19757536;0,424311927;0,109108781
35;3147;0,151572927;0,020972355;0,012710518;0,013663807;0,027009851;0,040673657;0,200508421;0,428026692;0,104861773
