tf;av;max
0;28,6;33,7
1;34,4;55,0
2;51,9;56,5
3;53,2;56,3
4;55,2;57,1
5;55,0;57,2
6;54,7;57,0
7;54,8;57,1
8;54,7;57,0
9;54,8;57,3
10;54,8;57,2
11;54,8;57,2
12;54,6;57,1
13;54,6;57,0
14;54,6;56,7
15;54,7;56,5
16;54,7;56,5
17;54,7;56,4
18;54,7;56,2
19;54,8;56,2
20;55,1;56,2
21;55,3;56,5
22;55,3;56,6
23;55,3;56,4
24;55,3;56,2
25;55,2;55,9
26;55,0;56,0
27;54,8;55,9
28,033;54,7;55,8
29,033;54,7;55,6
30,033;54,7;55,3
31,033;54,7;55,4
32,033;54,7;55,4
33,033;54,6;55,5
34,033;54,4;55,5
35,033;54,3;55,6
36,033;54,4;55,5
37,033;54,6;55,3
38,033;54,7;55,2
39,033;54,7;55,3
40,033;54,7;55,4
41,033;54,7;55,4
42,033;54,8;55,2
43,033;54,9;55,7
44,033;55,0;55,9
45,033;55,1;56,1
46,033;55,1;56,1
47,033;55,1;55,9
48,033;55,0;55,9
49,033;54,7;55,7
50,033;54,5;55,5
51,033;54,4;55,4
52,033;54,4;54,8
53,033;54,4;54,9
54,033;54,4;55,1
55,033;54,4;55,2
56,033;54,4;55,0
57,033;54,5;55,2
58,033;54,7;55,2
59,033;54,9;55,3
60,033;55,0;55,4
61,033;55,1;55,8
62,033;55,3;56,0
63,033;55,3;56,1
64,033;55,3;56,0
65,066;55,3;55,9
66,066;55,3;55,8
67,066;55,4;55,7
68,066;55,4;55,9
69,066;55,4;55,9
70,066;55,3;55,8
71,066;55,3;55,8
72,066;55,3;55,7
73,066;55,3;55,7
74,066;55,3;55,7
75,066;55,2;55,6
76,066;55,1;55,7
77,066;55,1;55,6
78,066;55,0;55,5
79,066;55,0;55,5
80,066;55,1;55,6
81,066;55,2;56,8
82,066;55,4;56,6
83,066;55,4;56,4
84,066;55,5;56,3
86,7;55,7;56,2
87,7;55,8;56,3
88,7;55,7;56,2
89,7;55,7;55,9
90,7;55,6;55,9
91,7;55,7;56,1
92,7;55,8;56,1
93,7;55,8;56,1
94,7;55,6;55,9
95,7;55,4;55,7
96,7;55,4;55,7
97,7;55,3;55,7
98,7;55,1;55,6
99,7;55,0;55,6
100,7;55,0;55,4
101,7;54,9;55,3
102,7;54,9;55,3
103,7;54,7;55,1
