tf;av;max;tc;cp
0;27,2;35;0;23,6
1,066;48,7;73,3;1;24,3
2,133;58;60,7;2;53,5
3,2;59,2;61,5;3;62,3
4,266;61;61,6;4;64,2
5,333;61;61,7;5;64,5
6,4;61,1;61,5;6;64,6
7,466;60,7;61,3;7;65
8,533;60,6;61,3;8;65,5
9,6;61,8;63,3;9;65,5
10,666;61,9;62,8;10;65,8
11,733;61,7;63,2;11;66
12,8;62,2;63,1;12;66,4
13,866;61,8;62,7;13;66,2
14,933;62,3;62,8;14;66,2
16;62,3;62,7;15;66,6
17,066;62;62,8;16;66,5
18,133;61,7;62,8;17;66,5
19,2;61,9;62,7;18;66,6
20,266;62,4;62,9;19;66,5
21,333;49,4;73,7;20;66,7
30,133;61,9;62,3;21;66,7
31,2;61,4;62,4;22;66,5
32,266;61,1;61,9;23;66,6
33,333;61,2;61,7;24;66,5
34,4;60,8;61,6;25;66,4
35,466;60,2;61,5;26;66,5
36,533;59,8;61;27;66,2
37,6;59,9;60,7;28;66,1
38,666;59,7;60,5;29;65,9
39,733;59,8;60,6;30;66
40,8;59,8;60,6;31;65,5
41,866;59,5;60,5;32;65,3
42,933;58,7;60,3;33;64,9
44;26,6;27;34;64,8
45,066;58,3;59,4;35;64,7
46,133;59,3;60,3;36;64,6
47,2;59,5;60;37;64,2
48,266;59,4;59,9;38;64,1
49,333;59,5;59,9;39;64,1
50,4;59,6;60;40;64
51,466;59,5;60,6;41;64
52,533;59,9;60,4;42;63,8
53,6;60,1;60,7;43;63,4
54,666;60,1;60,8;44;63,6
55,733;59,9;60,8;45;63,6
56,8;59,7;60,7;46;63,5
57,866;59,7;60,9;47;63,6
58,933;60,1;61,2;48;63,7
60;60,4;60,9;49;63,2
61,066;60,2;60,7;50;63,5
62,133;60,7;61,1;51;64,2
63,2;60,3;61,1;52;64
64,266;60,4;60,9;53;64
65,333;60,6;61;54;63,4
66,4;60,6;61;55;64,2
67,466;60,4;60,9;56;64
68,533;48,9;73,4;57;64
69,6;60,4;60,9;58;63,9
70,666;60,2;61,1;59;63,9
71,733;60,5;61,4;60;64,7
72,8;61,2;63,2;61;64,9
73,866;61;62,4;62;65,2
74,933;61;62,1;63;64,7
