;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;4,166666666666664;0,01;0,002;0,012;0,025
2;6,799999999999997;0,02;0,005;0,025;0,045
3;12,633333333333333;0,03;0,008;0,038;0,065
4;17,866666666666667;0,04;0,01;0,05;0,08
5;23,5;0,05;0,011000000000000001;0,061;0,09
6;29,0;0,06;0,013000000000000001;0,073;0,1
7;34,83333333333333;0,07;0,013999999999999999;0,084;0,11
8;43,900000000000006;0,08;0,015;0,095;0,11800000000000001
9;52,266666666666666;0,09;0,016;0,106;0,13
10;61,66666666666667;0,1;0,017;0,11699999999999999;0,139
11;72,7;0,11;0,018000000000000002;0,128;0,14800000000000002
12;85,9;0,12;0,02;0,14;0,16
13;99,26666666666668;0,13;0,021;0,151;0,168
14;111,1;0,14;0,023;0,163;0,175
15;123,66666666666666;0,15;0,024;0,174;0,18100000000000002
16;137,0;0,16;0,026000000000000002;0,18600000000000003;0,19
17;151,73333333333332;0,17;0,027000000000000003;0,19699999999999998;0,19899999999999998
18;165,43333333333334;0,18;0,027999999999999997;0,20800000000000002;0,203
19;181,33333333333334;0,19;0,03;0,22;0,21100000000000002
20;198,16666666666666;0,2;0,031;0,231;0,218
21;214,89999999999998;0,21;0,033;0,243;0,22399999999999998
22;232,66666666666669;0,22;0,035;0,255;0,23
23;251,33333333333331;0,23;0,036000000000000004;0,266;0,23800000000000002
24;272,26666666666665;0,24;0,038;0,278;0,244
25;293,8333333333333;0,25;0,04;0,29;0,253
26;325,96666666666664;0,26;0,042;0,302;0,259
27;421,1666666666667;0,27;0,044000000000000004;0,314;0,262
28;778,0;0,28;0,046;0,326;0,266
