;perfil: distancia;perfil: espesor
0;-0,065;0,0
1;-0,06;0,006999999999999999
2;-0,03;0,01
3;0,0;0,01
4;0,05;0,015
5;0,1;0,016
6;0,15;0,017
7;0,2;0,017
8;0,25;0,016
9;0,3;0,015
10;0,35;0,009000000000000001
11;0,35100000000000003;0,0
