;perfil: distancia;perfil: espesor
0;-0,05;0,01
1;0,0;0,006999999999999999
2;0,05;0,011000000000000001
3;0,1;0,013999999999999999
4;0,15;0,016
5;0,2;0,018000000000000002
6;0,25;0,018000000000000002
7;0,3;0,016
8;0,35;0,013999999999999999
9;0,36;0,012
10;0,366;0,0
