tf;av;max
0;42,8;44,2
1;42,3;55,1
2;53,1;57,8
3;57,8;58,3
4;58,2;58,6
5;58,5;59
6;59;59,7
7,034;59,6;60,5
8,034;58,8;59,6
9,034;58,6;59,3
10,034;58,5;59,2
11,034;58,3;58,8
12,034;57,8;58,4
13,034;57,5;58,2
14,034;57;57,8
15,034;56;57,2
16,034;55;56,8
17,034;54,1;56,3
18,034;53,3;56
19,034;52,9;55,6
20,034;52,8;55,4
21,034;52,9;55,1
22,034;52,8;54,9
23,034;52,9;54,7
24,034;52,8;54,4
25,034;52,5;54
26,034;52,5;53,7
27,034;52,7;53,6
28,034;52,7;53,9
29,034;52,8;54,9
30,034;52,9;54,8
31,034;52,8;53,9
33,9;53,3;53,9
34,9;53,2;53,7
35,9;53;53,6
36,9;53;53,7
37,9;52,9;53,8
38,9;52,9;53,8
39,9;52,9;53,9
40,9;53;53,9
41,9;52,9;54
42,9;53;53,9
43,9;52,9;54
44,9;52,9;54,1
45,9;53,1;54,1
46,9;53,2;54,2
47,9;52,9;54,2
48,9;52,9;54,1
49,9;53,1;54,2
50,9;53,3;54,2
51,9;53,4;54,3
52,9;53,5;54,3
53,9;53,5;54,3
54,9;53,6;54,3
55,9;53,6;54,3
56,9;53,3;54,2
57,9;53,2;54,2
58,9;53,5;54,3
59,9;53,5;54,2
60,9;53,2;54,1
61,9;52,9;54,1
62,9;52,8;53,9
63,9;52,8;53,9
64,9;52,8;53,9
65,9;52,9;54,4
66,9;52,9;53,9
67,9;52,9;53,9
68,9;52,6;53,9
69,9;52,5;54,1
70,9;52,6;54,1
71,9;52,6;54,2
72,9;52,8;54,3
73,9;53;54,5
74,9;53;54,4
75,9;53;54,4
76,9;53,1;53,9
77,9;53;53,7
78,9;52,9;53,6
79,9;52,9;53,6
80,9;52,8;53,5
81,9;52,5;53,5
82,9;52,6;53,7
83,9;52,4;53,7
84,9;52,4;53,7
85,9;52,5;53,6
86,9;52,7;53,5
87,9;52,6;53,5
88,9;52,4;53,5
89,9;52,2;53,5
90,9;52,3;53,5
91,9;52,2;53,5
92,9;52,3;53,4
93,9;52,3;53,2
94,9;52,3;53,3
95,9;52,2;53,4
96,9;52,2;53,5
97,9;52,3;53,4
98,9;52,3;53,3
