tf;av;max
0;23,7;24
1;24,6;27,2
2;49,6;56
3;52,5;56,3
4;53,7;55,5
5;55,3;56,5
6;56,3;56,8
7;56,5;57,1
8;57;57,4
9;57,4;57,8
10;57,7;58,1
11;57,9;58,3
12;58,1;58,5
13;58,2;58,5
14;58,1;58,4
15;58;58,3
16;58,1;58,4
17;58,3;58,5
18;58,3;58,4
19;58,3;58,6
20;58,1;58,4
21;58,1;58,3
22;58,1;58,3
23;58,1;58,4
24;58;58,5
25;57,7;58,3
26;57,8;58,4
27;57,9;58,3
28;58;58,4
29;58,2;58,4
30;58,1;58,3
31;57,9;58,2
32;57,8;58,1
33;57,7;58
34;57,6;57,9
35;57,5;57,8
36;57,3;57,5
37;57,1;57,3
38;56,9;57,1
39;56,5;56,8
40;56,2;56,7
41;56,4;56,7
42;56,1;56,4
43;55,8;56,3
44;56;56,3
45;55,9;56,3
46;55,7;56,1
47;55,7;56,1
48;56;56,4
49;56,1;56,5
50;56,2;56,6
51;56,3;56,6
52;56,5;56,8
53;56,5;56,9
54;56,6;57
55;56,7;57,1
56;56,9;57
57;56,8;57,2
58;56,3;57
59;56,6;57,1
60;56,9;57,3
61;56,9;57,3
62;57;57,3
63;57,1;57,4
64;56,9;57,2
65;57,1;57,4
66;57,4;57,8
67;57,6;57,8
68;57,7;57,9
69;57,7;57,9
70;57,7;58
71;57,6;57,9
72;57,7;57,9
73;57,6;58
74;57,5;57,8
75;57,4;57,7
76;57,4;57,6
77;57,3;57,6
78;57,1;57,3
79;57;57,4
80;57;57,3
81;56,8;57,2
82;56,6;57,1
83;56,1;56,9
84;55,7;56,7
85;55,4;56,4
86;55;56,1
87;54,6;55,9
88;54,3;55,8
89;53,7;55,7
90;53,1;55,4
91;52,9;55,3
92;53,1;55,2
93;53,4;55,2
94;53,7;55
95;54;55
96;53,9;54,9
97;53,8;54,8
98;53,6;54,7
99;53,4;54,7
100;53,4;54,7
101;53,1;54,6
102;53,1;54,6
103;52,9;54,5
104;52,9;54,5
105;52,8;54,4
106;52,8;54,4
107;52,7;54,4
108;52,8;54,3
109,033;52,7;54
110,033;52,6;54
111,033;52,5;53,9
112,033;52,4;53,9
113,033;52,4;53,9
114,033;52,3;53,7
115,033;52,5;53,8
116,033;52,3;53,8
117,033;52,4;53,8
118,033;52,3;53,8
119,033;52,1;53,8
120,033;51,6;53,6
121,033;51,4;53,4
122,033;51,5;53,3
123,033;51,7;53,2
124,033;51,7;53,3
125,033;51,4;53,2
126,033;51,2;53,1
127,033;50,8;53
128,033;50,6;53
129,033;50,4;53
130,033;50,4;53
131,033;50,2;52,9
132,033;49,5;52,7
133,033;49,4;52,2
134,033;49,1;52,1
135,033;49,3;52,1
136,033;49,2;52
137,033;49,3;51,8
138,033;49,1;51,7
139,033;49;51,6
140,033;48,6;51,6
141,033;48,8;51,6
142,033;48,5;51,5
143,033;48,6;51,4
144,033;48,7;51,5
145,033;48,6;51,5
146,033;48,6;51,3
147,033;48,5;51,2
148,033;48,8;51,1
149,033;48,7;51
150,033;48,2;50,9
151,033;48,3;50,9
152,033;48,2;50,8
153,033;48,1;50,8
154,033;48;50,8
155,033;47,8;50,7
156,033;47,8;50,6
157,033;47,8;50,5
158,033;47,6;50,6
159,033;47,5;50,5
