tf;av;max
0;28,9;29,6
1;29,0;29,6
2;30,1;31,5
3;33,7;34,9
4;36,0;37,5
5;38,3;40,1
6;39,0;41,2
7;40,3;43,2
8;42,2;44,7
9;43,7;46,0
10;44,7;47,2
11;45,8;48,5
12;46,9;49,6
13;48,0;50,4
14;48,8;50,7
15;49,5;51,1
16;49,7;51,0
17;50,0;51,2
18;50,1;51,2
19;50,2;51,3
20;50,3;51,3
21;50,5;51,4
23,7;50,5;51,1
24,7;50,4;51,0
25,7;50,4;50,9
26,7;50,3;50,8
27,7;50,2;50,6
28,7;50,1;50,5
29,7;50,1;50,5
30,7;50,0;50,4
31,7;50,0;50,4
32,7;50,0;50,4
33,7;50,0;50,4
34,7;50,0;50,4
35,7;49,9;50,3
36,7;49,9;50,4
37,7;49,8;50,3
38,7;49,8;50,2
39,7;49,8;50,1
40,7;49,7;50,1
41,7;49,6;50,1
42,7;49,6;50,2
43,7;49,7;50,4
44,7;49,8;50,4
45,7;49,8;50,4
46,7;49,9;50,4
47,7;49,9;50,4
48,7;50,0;50,5
49,7;50,0;50,3
50,7;49,9;50,3
51,7;49,7;50,3
52,7;49,7;50,4
53,7;49,8;50,4
54,7;49,9;50,5
55,7;50,0;50,5
56,7;50,0;50,5
57,7;50,0;50,5
58,7;49,9;50,4
59,7;49,9;50,4
60,7;49,8;50,4
61,7;49,8;50,4
62,7;49,7;50,3
63,7;49,7;50,2
64,7;49,6;50,2
65,7;49,5;49,9
66,7;49,4;49,7
67,7;49,3;49,8
68,7;49,2;50,1
69,7;49,2;50,4
70,7;49,2;50,4
71,7;49,1;50,2
72,7;49,0;49,9
73,7;48,9;49,5
74,7;48,8;49,3
75,7;48,7;49,3
78,4;48,6;49,2
79,433;48,6;49,3
80,433;48,6;49,1
81,433;48,6;49,2
82,433;48,6;49,1
83,433;48,6;49,1
84,433;48,7;49,1
85,433;48,7;49,1
86,433;48,6;49,1
87,433;48,7;49,1
88,433;48,7;49,2
89,433;48,7;49,1
90,433;48,8;49,1
91,433;48,7;49,0
92,433;48,7;49,0
93,433;48,7;49,0
94,433;48,8;49,1
95,433;48,7;49,1
96,433;48,7;49,1
97,433;48,6;49,1
98,433;48,5;49,1
99,433;48,4;49,0
100,433;48,5;49,0
101,433;48,4;49,0
102,433;48,3;48,9
103,433;48,3;48,8
104,433;48,2;48,8
105,433;48,1;48,7
106,433;48,0;48,7
107,433;48,0;48,7
108,433;48,0;48,6
109,433;48,0;48,5
110,433;48,0;48,5
111,433;47,9;48,4
112,433;47,8;48,3
113,433;47,7;48,2
114,433;47,7;48,2
115,433;47,6;48,1
116,433;47,5;48,0
117,433;47,4;47,9
