Omega RDXL6SD Serial No. 002006 - Logged Data
Date:,04-10-16
Time:,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,
,,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,
09:25:02,0,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:03,1,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:04,2,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:05,3,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:06,4,  21.4,  21.8,  21.4,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:07,5,  21.4,  21.8,  21.4,  21.9, 850.0, 850.0,  23.7,  24.0,  24.4,  25.2,
09:25:08,6,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.0,  24.4,  25.2,
09:25:09,7,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.3,
09:25:10,8,  21.4,  21.9,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:11,9,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:12,10,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:13,11,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.0,  24.4,  25.2,
09:25:14,12,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.0,  24.4,  25.2,
09:25:15,13,  21.4,  21.7,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:16,14,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:17,15,  21.5,  21.8,  21.4,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:18,16,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:19,17,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:20,18,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.3,
09:25:21,19,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:22,20,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:23,21,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:24,22,  21.4,  21.8,  21.4,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:25,23,  21.4,  21.8,  21.4,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:26,24,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.3,
09:25:27,25,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:28,26,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.0,  24.3,  25.2,
09:25:29,27,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:30,28,  21.4,  21.8,  21.4,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.3,
09:25:31,29,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:32,30,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:33,31,  21.4,  21.9,  21.4,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:34,32,  21.4,  21.9,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:35,33,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:36,34,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.5,  25.3,
09:25:37,35,  21.5,  21.9,  21.4,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:38,36,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:39,37,  21.5,  21.8,  21.4,  21.9, 850.0, 850.0,  23.8,  24.1,  24.5,  25.3,
09:25:40,38,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:41,39,  21.4,  21.8,  21.4,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:42,40,  21.4,  21.9,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:43,41,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:44,42,  21.5,  21.9,  21.4,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:45,43,  21.5,  21.8,  21.4,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:46,44,  21.5,  21.8,  21.4,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:47,45,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.3,
09:25:48,46,  21.4,  21.8,  21.4,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.2,
09:25:49,47,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
09:25:50,48,  21.4,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.5,  25.3,
09:25:51,49,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.8,  24.1,  24.4,  25.3,
09:25:52,50,  21.5,  21.8,  21.3,  21.9, 850.0, 850.0,  23.7,  24.1,  24.4,  25.2,
