FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
0;1107;0,308039747;0,038843722;0,014453478;0,020776874;0,022583559;0,021680217;0,065943993;0,366757001;0,140921409
1;1633;0,233925291;0,023882425;0,020208206;0,017146356;0,016533987;0,022045315;0,157379057;0,464176363;0,044703001
2;2126;0,190498589;0,025870179;0,011288805;0,014111007;0,021636877;0,02869238;0,151458137;0,54374412;0,012699906
3;2705;0,163031423;0,023290203;0,009981516;0,012939002;0,018484288;0,024029575;0,122365989;0,500184843;0,125693161
4;3328;0,149939904;0,017728365;0,012019231;0,010516827;0,015925481;0,022536058;0,098557692;0,439002404;0,233774038
5;3951;0,132118451;0,014679828;0,011642622;0,011895723;0,012148823;0,02126044;0,099215389;0,4211592;0,275879524
6;4556;0,119402985;0,017998244;0,007243196;0,012510975;0,014925373;0,017998244;0,100307287;0,416593503;0,293020193
7;5198;0,111773759;0,018661023;0,009041939;0,008272412;0,013274336;0,016737207;0,101962293;0,419584456;0,300692574
8;5855;0,105038429;0,01793339;0,008710504;0,008881298;0,010247652;0,019299744;0,088300598;0,424081981;0,315627669
9;6479;0,098317642;0,016669239;0,007254206;0,009415033;0,010804136;0,017595308;0,082574471;0,417039667;0,325358852
10;7076;0,093131713;0,014132278;0,007348785;0,009892595;0,011447145;0,013990955;0,081967213;0,416054268;0,332108536
11;7693;0,088392045;0,014298713;0,007279345;0,009619134;0,009749123;0,014948655;0,082152606;0,410503055;0,339139477
12;8266;0,085047181;0,01596903;0,007379627;0,008105492;0,009073312;0,017662715;0,077062666;0,409629809;0,35059279
13;8832;0,083333333;0,014379529;0,006906703;0,007699275;0,010756341;0,014266304;0,081068841;0,406929348;0,360167572
14;9394;0,078773685;0,015861188;0,005961252;0,007451565;0,010645093;0,013732169;0,083989781;0,409090909;0,356397701
15;9966;0,078366446;0,012341963;0,00692354;0,007926952;0,010134457;0,012843668;0,086895445;0,415111379;0,346177002
16;10520;0,074809886;0,013307985;0,006558935;0,007129278;0,009505703;0,015304183;0,086121673;0,41891635;0,340114068
17;11130;0,076010782;0,013297394;0,006648697;0,00754717;0,008805031;0,013387242;0,088589398;0,41868823;0,338274933
18;11672;0,071710075;0,012508568;0,005825908;0,006768334;0,01088074;0,013365319;0,095613434;0,431631254;0,332590816
19;12213;0,06902481;0,012118235;0,006877917;0,006550397;0,009006796;0,014984033;0,097027757;0,446491444;0,323180218
20;12775;0,067632094;0,01221135;0,006183953;0,007436399;0,009158513;0,013620352;0,099099804;0,445088063;0,32853229
21;13332;0,065931593;0,011551155;0,006225623;0,007050705;0,0090009;0,015226523;0,099009901;0,452520252;0,318481848
22;13900;0,065251799;0,012014388;0,005899281;0,007122302;0,009064748;0,013165468;0,101654676;0,461726619;0,311366906
23;14424;0,063505269;0,01130061;0,005546312;0,007279534;0,009844703;0,014073766;0,103161398;0,481558514;0,296589018
24;14990;0,06197465;0,012341561;0,005203469;0,006537692;0,009806538;0,013942628;0,103335557;0,486924616;0,293995997
25;15507;0,060230863;0,011220739;0,006126266;0,00625524;0,009221642;0,014960985;0,106919456;0,485264719;0,293157929
26;16079;0,061135643;0,011443498;0,004975434;0,007089993;0,009080167;0,014739723;0,109210772;0,479134275;0,292368928
27;16584;0,058912205;0,011034732;0,005487217;0,006331404;0,009165461;0,015738061;0,112397492;0,478895321;0,289917993
28;17113;0,058201367;0,011336411;0,004265763;0,006720037;0,009408052;0,01601122;0,114415941;0,482790861;0,286507334
29;17622;0,055385314;0,010838724;0,004653274;0,007433889;0,009022812;0,01566224;0,118431506;0,48865055;0,284927931
30;18184;0,055708315;0,010008799;0,005554333;0,006654201;0,008523977;0,016553014;0,121810383;0,500054993;0,273977123
31;18708;0,05436177;0,010583708;0,004810776;0,006467821;0,009300834;0,017051529;0,126844131;0,500801796;0,269724182
32;19230;0,052678107;0,011128445;0,004368175;0,006656266;0,008580343;0,018564743;0,129797192;0,505356214;0,262870515
33;19777;0,052586338;0,010466704;0,004550741;0,006219346;0,008343025;0,019315366;0,133437832;0,51135157;0,253729079
34;20327;0,05136026;0,011315;0,004280022;0,006100261;0,009002804;0,018841934;0,133172628;0,516160771;0,249766321
35;20888;0,052566067;0,010197242;0,004739563;0,005936423;0,008904634;0,018862505;0,131463041;0,523171199;0,244159326
36;21420;0,052054155;0,009430439;0,005275444;0,006255836;0,008076564;0,019701214;0,135294118;0,533053221;0,23085901
37;21982;0,050859794;0,009826221;0,00541352;0,005777454;0,008643436;0,01983441;0,140023656;0,548539714;0,211081794
38;22487;0,050028906;0,009427669;0,004891715;0,005603237;0,009160848;0,01943345;0,146351225;0,563214302;0,191888647
39;23012;0,050017382;0,008995307;0,00482357;0,006040327;0,009038762;0,019989571;0,150921258;0,572961933;0,177211889
40;23512;0,048443348;0,008506295;0,006209595;0,005529092;0,008591358;0,021053079;0,158259612;0,609178292;0,13422933
41;24049;0,048234854;0,009605389;0,00399185;0,00656992;0,009064826;0,021497775;0,162459978;0,614287496;0,124287912
42;24581;0,048289329;0,008339775;0,005288638;0,006061592;0,008868638;0,021561369;0,167731174;0,617956959;0,115902526
43;25085;0,046322503;0,00849113;0,005301973;0,005700618;0,008690452;0,022483556;0,171616504;0,629858481;0,101534782
44;25621;0,046095;0,00971859;0,003785957;0,00565942;0,010030834;0,022676711;0,175637173;0,664259787;0,062136529
45;26155;0,046300898;0,008640795;0,004167463;0,006805582;0,00837316;0,023284267;0,178665647;0,678990633;0,044771554
46;26647;0,044808046;0,008293617;0,004653432;0,00630465;0,008293617;0,024693211;0,183697977;0,673809434;0,045446016
