;perfil: distancia;perfil: espesor
0;-0,08;0,0
1;-0,075;0,004
2;-0,04;0,002
3;0,0;0,013000000000000001
4;0,05;0,018000000000000002
5;0,1;0,019
6;0,15;0,02
7;0,2;0,018000000000000002
8;0,25;0,016
9;0,29;0,01
10;0,295;0,0
