tf;av;max
275,366;50,5;52,1
276,366;50,5;52,3
277,366;50,3;52,4
278,366;50,3;52,6
279,366;50,3;52,6
280,366;50,3;52,5
281,366;50,4;52,6
282,366;50,4;52,5
283,366;50,2;52,4
284,366;50,1;52,4
285,366;50,1;52,4
286,366;50,2;52,4
287,366;50,4;52,3
288,366;50,3;52,4
289,366;50,0;52,2
290,366;50,3;52,2
291,366;50,4;52,2
292,366;50,3;52,1
293,366;50,3;52,1
294,366;50,3;52,2
295,366;50,0;52,0
296,366;50,1;51,9
297,366;50,2;51,9
298,366;50,4;53,1
299,366;50,6;53,3
300,366;50,7;53,3
301,366;50,7;53,3
302,366;50,8;53,0
303,366;50,8;52,9
304,366;50,7;52,9
305,366;50,7;52,8
306,366;50,7;52,7
307,366;50,7;52,6
308,366;50,6;52,4
309,366;50,7;52,3
310,366;50,7;52,2
311,366;50,7;52,3
313,766;50,1;52,1
314,766;50,0;52,2
315,766;50,1;52,1
316,766;50,1;52,0
317,766;49,8;51,9
318,766;49,8;51,9
319,766;49,8;52,0
320,766;49,9;52,1
321,766;49,9;52,0
322,766;49,9;52,1
323,766;49,9;52,2
324,766;49,9;52,2
325,766;49,7;52,1
326,766;49,7;52,0
327,766;49,7;52,0
328,766;49,7;52,1
329,766;49,8;52,0
330,766;49,8;52,1
331,766;49,9;52,2
332,766;49,7;52,3
333,766;49,6;52,9
334,766;49,8;52,8
335,766;49,8;52,7
336,766;49,6;52,6
337,766;49,7;52,5
338,766;49,8;52,5
339,766;49,7;52,6
340,766;49,8;52,1
341,766;49,2;52,0
342,766;49,3;51,6
343,766;49,4;52,0
344,766;49,4;52,3
345,766;49,6;52,1
346,766;49,6;52,2
347,766;49,9;52,1
348,766;50,1;52,3
349,766;50,1;52,4
350,766;49,9;52,3
351,766;49,8;53,4
352,766;49,7;53,3
353,766;49,7;53,3
354,766;49,7;53,2
355,766;49,7;53,0
356,766;49,5;52,9
357,766;49,4;52,9
358,766;49,5;52,9
359,766;49,7;52,9
360,766;49,7;52,8
361,766;49,7;52,7
362,766;49,7;52,7
363,766;49,8;52,5
364,766;49,9;52,5
365,766;49,8;52,4
366,766;49,7;52,6
367,766;49,7;53,7
368,766;49,7;53,7
369,766;49,7;53,4
370,766;49,7;53,3
371,766;49,8;53,2
372,766;49,9;53,3
373,766;50,0;54,4
374,766;50,1;54,6
375,766;50,0;54,4
376,766;50,0;54,5
377,766;49,9;54,4
378,766;49,8;54,3
379,766;49,9;54,3
380,766;49,8;54,2
381,766;49,7;54,1
382,766;49,8;53,9
383,766;49,8;53,7
384,766;50,1;53,7
385,766;50,2;53,4
386,766;50,2;54,6
387,766;48,5;69,9
388,766;50,4;54,5
389,766;50,4;54,4
390,766;50,5;54,3
391,766;50,3;54,0
392,766;50,4;53,9
393,766;50,5;53,8
394,766;50,6;53,6
395,766;50,7;53,5
396,766;50,7;53,8
397,766;50,7;54,0
398,766;50,7;53,8
399,766;50,7;53,6
400,766;50,7;54,1
401,766;50,7;54,2
402,766;50,6;53,8
403,766;50,7;53,4
404,766;50,9;53,4
405,766;51,0;53,4
406,766;50,9;53,3
407,766;51,1;53,4
408,766;51,3;53,4
409,766;51,5;53,4
410,766;51,5;53,3
411,766;51,6;53,3
412,766;51,6;53,2
413,766;51,6;53,1
414,766;51,5;52,9
415,766;51,5;53,7
416,766;51,5;53,5
417,766;51,4;53,2
418,766;51,5;53,0
419,766;51,4;52,8
420,766;51,4;52,6
421,766;51,3;52,5
422,766;51,3;52,5
423,766;51,2;52,4
424,766;51,2;52,5
425,766;50,8;52,3
426,766;50,7;52,2
427,766;50,8;52,2
428,766;50,8;52,3
429,766;50,4;52,3
430,766;50,6;52,3
431,766;50,5;52,3
432,766;50,2;52,0
433,766;49,9;51,8
434,766;49,6;51,9
435,766;49,6;51,8
436,766;49,7;51,8
437,766;49,7;51,7
438,766;49,7;51,7
439,766;49,6;51,7
440,766;49,6;51,7
441,766;49,7;51,6
442,766;49,8;51,6
443,766;49,8;51,4
444,766;49,9;51,4
445,766;49,8;51,3
446,766;49,7;51,2
447,766;49,3;51,2
448,766;49,7;51,1
449,766;49,6;51,0
450,766;49,5;50,9
451,766;49,6;50,8
452,766;49,5;50,7
453,766;49,5;50,6
454,766;49,5;50,8
455,766;49,5;50,8
456,766;49,9;51,1
457,766;49,6;50,8
458,766;49,7;51,0
459,766;49,9;51,4
460,766;50,0;51,4
