;perfil: distancia;perfil: espesor
0;-0,06;0,0
1;-0,057;0,0095
2;-0,03;0,01
3;0,0;0,01
4;0,05;0,017
5;0,1;0,019
6;0,15;0,021
7;0,2;0,023
8;0,25;0,02
9;0,3;0,017
10;0,33;0,012
11;0,34;0,0
