;perfil: distancia;perfil: espesor
0;-0,05;0,012
1;0,0;0,013999999999999999
2;0,05;0,016
3;0,1;0,017
4;0,15;0,019
5;0,2;0,02
6;0,25;0,021
7;0,3;0,018000000000000002
8;0,31;0,015
9;0,316;0,0
