;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;5,5;0,01;0,01;0,02;0,035
2;32,833333333333336;0,02;0,02;0,04;0,05
3;69,5;0,03;0,032;0,062;0,07
4;113,16666666666666;0,04;0,037000000000000005;0,077;0,085
5;155,5;0,05;0,04;0,09;0,092
6;206,5;0,06;0,045;0,105;0,105
7;283,0;0,07;0,051;0,121;0,12
8;359,5;0,08;0,054000000000000006;0,134;0,135
9;444,5;0,09;0,055999999999999994;0,146;0,147
10;529,5;0,1;0,06;0,16;0,154
11;606,0;0,11;0,065;0,175;0,166
12;699,5;0,12;0,067;0,187;0,18
13;784,5;0,13;0,068;0,198;0,19
14;878,0;0,14;0,07;0,21;0,2
15;988,5;0,15;0,071;0,221;0,2
16;1079,5;0,16;0,07200000000000001;0,23199999999999998;0,218
17;1185,5;0,17;0,073;0,243;0,226
18;1301,0;0,18;0,075;0,255;0,23600000000000002
19;1502,5;0,19;0,075;0,265;0,243
20;1744,4666666666667;0,2;0,075;0,275;0,243
21;1751,1;0,20199999999999999;0,075;0,27699999999999997;0,245
22;2261,1;0,21;0,075;0,285;0,24600000000000002
23;2782,6;0,214;0,075;0,289;0,245
24;2782,766666666667;0,215;0,075;0,29;0,245
25;3538,733333333333;0,21600000000000003;0,075;0,29100000000000004;0,245
26;7544,5;0,217;0,075;0,292;0,245
27;8183,5;0,217;0,075;0,292;0,245
28;9578,5;0,218;0,075;0,293;0,245
