;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,27;0,06;0,33;0,256
1;153,0;0,28;0,06;0,34;0,26
2;357,0;0,29;0,06;0,35;0,26
3;586,5;0,3;0,06;0,36;0,265
4;952,0;0,31;0,06;0,37;0,265
5;1598,4666666666667;0,32;0,06;0,38;0,265
6;1788,9333333333334;0,322;0,06;0,382;0,265
7;2017,0;0,325;0,06;0,385;0,265
8;2254,0;0,327;0,06;0,387;0,265
9;2631,0;0,32899999999999996;0,06;0,389;0,265
10;2889,0;0,33;0,06;0,39;0,265
11;3167,0;0,33;0,06;0,39;0,265
12;3461,0;0,331;0,06;0,391;0,265
13;3763,0;0,332;0,06;0,392;0,265
14;4068,0;0,332;0,06;0,392;0,265
15;4662,0;0,33299999999999996;0,06;0,39299999999999996;0,265
16;6005,0;0,33299999999999996;0,06;0,39299999999999996;0,265
17;6717,0;0,33299999999999996;0,06;0,39299999999999996;0,265
