FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
47;18328;0,084188127;0,018005238;0,006329114;0,007584024;0,00943911;0,047195548;0,618889131;0,208369708;0
48;18808;0,092354317;0,01733305;0,006805615;0,008081667;0,008188005;0,044396002;0,649245002;0,173596342;0
49;18883;0,082031457;0,016046179;0,007625907;0,007678865;0,00916168;0,046390934;0,69528147;0,135783509;0
50;19128;0,078680468;0,017252196;0,006534923;0,007998745;0,009514847;0,049038059;0,724958176;0,106022585;0
51;19462;0,080207584;0,01649368;0,006731066;0,008118385;0,008375295;0,050816977;0,734713801;0,094543212;0
52;19711;0,077723099;0,016133124;0,006544569;0,007508498;0,009740754;0,05494394;0,7746436;0,052762417;0
53;20059;0,078468518;0,017149409;0,006929558;0,007079117;0,008923675;0,057281021;0,801934294;0,022234408;0
54;20207;0,072400653;0,016034048;0,005740585;0,008511902;0,008660365;0,062206166;0,815905379;0,010540902;0
55;20552;0,074202024;0,015716232;0,006179447;0,007493188;0,009926041;0,063838069;0,815492409;0,007152589;0
56;20858;0,073784639;0,015869211;0,006184677;0,008102407;0,008438009;0,072442228;0,808466775;0,006712053;0
57;21131;0,072310823;0,015711514;0,005820832;0,008660262;0,008518291;0,093085987;0,793762718;0,002129573;0
58;21388;0,070927623;0,015429213;0,006031419;0,007247054;0,009351038;0,110482514;0,779268749;0,00126239;0
59;21708;0,070665193;0,015524231;0,006311037;0,00787728;0,008061544;0,108669615;0,782246177;0,000644924;0
60;22076;0,074017032;0,015084254;0,005662258;0,008334843;0,00887842;0,123482515;0,764087697;0,000452981;0
61;22365;0,073328862;0,015068187;0,006170355;0,007511737;0,008450704;0,125195618;0,764274536;0;0
62;22772;0,076980502;0,015281925;0,00663095;0,006982259;0,008299666;0,142631302;0,742798173;0,000395222;0
63;22883;0,070707512;0,014202683;0,005986977;0,008652712;0,007735;0,165756238;0,72634707;0,000611808;0
64;23193;0,071788902;0,01448713;0,005777605;0,007760962;0,008795757;0,159617126;0,730263442;0,001509076;0
65;23431;0,068883104;0,015321583;0,005462848;0,007084631;0,009901413;0,171140796;0,721608126;0,000597499;0
66;23663;0,06774289;0,014664244;0,005831889;0,007395512;0,008874614;0,183789038;0,710856612;0,000845201;0
67;23924;0,066878448;0,014546063;0,005517472;0,007356629;0,009279385;0,184793513;0,710834309;0,000794182;0
68;24254;0,068689701;0,014018306;0,006143317;0,007132844;0,008864517;0,184093345;0,708996454;0,002061516;0
69;24544;0,068204042;0,014504563;0,005948501;0,007537484;0,009126467;0,194630052;0,695811604;0,004237288;0
70;24708;0,064230209;0,014003562;0,005868545;0,007366035;0,009146835;0,227861421;0,667597539;0,003925854;0
71;25093;0,067668274;0,013948113;0,005898059;0,007412426;0,008727534;0,228230981;0,663770773;0,004343841;0
72;25288;0,06481335;0,013642835;0,005061689;0,007948434;0,009965201;0,253756723;0,64251819;0,002293578;0
73;25592;0,065293842;0,013402626;0,005587684;0,007306971;0,009807752;0,269693654;0,627813379;0,001094092;0
74;25860;0,064385151;0,013689095;0,005452436;0,007463264;0,010402166;0,280974478;0,616744006;0,000889404;0
75;26073;0,061442872;0,013807387;0,005714724;0,007057109;0,010432248;0,314961838;0,58566333;0,000920492;0
76;26350;0,061100569;0,013472486;0,005351044;0,007893738;0,009791271;0,3343074;0,567362429;0,000721063;0
77;26701;0,063068799;0,014044418;0,004943635;0,007490356;0,010561402;0,343694993;0,555147747;0,00104865;0
78;27014;0,063596654;0,013622566;0,005515659;0,006774265;0,010476049;0,371325979;0,526319686;0,002369142;0
79;27236;0,061572918;0,013584961;0,005507417;0,007379938;0,010243795;0,409972096;0,488728154;0,003010721;0
80;27446;0,059607957;0,013153101;0,005538148;0,006922685;0,011294906;0,446695329;0,454565328;0,002222546;0
81;27878;0,064387689;0,013128632;0,005524069;0,007138245;0,010653562;0,438553698;0,456596599;0,004017505;0
82;28093;0,062328694;0,013099349;0,005161428;0,007688748;0,010750009;0,472502047;0,424411775;0,00405795;0
83;28373;0,061960314;0,01328728;0,005392451;0,007330913;0,010961125;0,496493145;0,400486378;0,004088394;0
84;28552;0,058419725;0,013168955;0,00532362;0,007390025;0,011242645;0,521504623;0,380148501;0,002801905;0
85;28764;0,056494229;0,012724239;0,005701571;0,007126964;0,011681268;0,546446948;0,358260325;0,001564456;0
86;29163;0,060316154;0,012618729;0,005863594;0,006720845;0,011521448;0,545177108;0,357576381;0,00020574;0
87;29399;0,058607436;0,013095684;0,005408347;0,00721113;0,011667064;0,565155277;0,338855063;0;0
88;29656;0,058234421;0,012813596;0,005125438;0,007384678;0,011903156;0,579646615;0,324892096;0;0
89;30855;0,062323772;0,012639767;0,005023497;0,007713499;0,011602658;0,614713985;0,28533463;0,000648193;0
90;31311;0,06735652;0,012615375;0,005461339;0,007345661;0,011497557;0,609785698;0,285586535;0,000351314;0
91;31202;0,056406641;0,012755593;0,005576566;0,006922633;0,012595346;0,662842126;0,242901096;0;0
92;31370;0,053649984;0,012081607;0,005387313;0,007841887;0,012846669;0,682052917;0,226139624;0;0
93;31710;0,05547146;0,012677389;0,004667297;0,00794702;0,013245033;0,681898455;0,224030274;6,31E-05;0
94;31892;0,053179481;0,012479619;0,004922865;0,007494042;0,013577073;0,704283206;0,204063715;0;0
95;32125;0,052731518;0,011610895;0,0052607;0,007906615;0,01385214;0,72292607;0,185712062;0;0
96;32437;0,053704103;0,012393255;0,004994297;0,007923051;0,013873046;0,727934149;0,179178099;0;0
97;32678;0,053155028;0,012424261;0,005355285;0,007589204;0,013831936;0,734500275;0,173144011;0;0
98;32904;0,052303671;0,012186968;0,005166545;0,00759786;0,014344761;0,742949186;0,165451009;0;0
99;33314;0,05598247;0,012337156;0,005373116;0,007504353;0,014198235;0,734105781;0,170498889;0;0
100;33516;0,054033894;0,012113617;0,005161714;0,007996181;0,014291682;0,745136651;0,161266261;0;0
101;33821;0,055231956;0,011738269;0,0051743;0,007657964;0,014961119;0,74566098;0,159575412;0;0
