;perfil: distancia;perfil: espesor
0;-0,07;0,0
1;-0,065;0,0085
2;-0,04;0,009000000000000001
3;0,0;0,0085
4;0,05;0,011000000000000001
5;0,1;0,012
6;0,15;0,014499999999999999
7;0,2;0,0155
8;0,25;0,016
9;0,3;0,013999999999999999
10;0,35;0,012
11;0,354;0,008
12;0,358;0,0
