;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;0,5;0,01;0,002;0,012;0,04
2;32,33333333333333;0,02;0,02;0,04;0,06
3;54,2;0,03;0,03;0,06;0,07
4;87,60000000000001;0,04;0,04;0,08;0,08
5;129,76666666666665;0,05;0,05;0,1;0,096
6;207,76666666666665;0,06;0,054000000000000006;0,114;0,11
7;248,86666666666667;0,07;0,057;0,127;0,12
8;324,59999999999997;0,08;0,059000000000000004;0,139;0,136
9;389,06666666666666;0,09;0,061;0,151;0,145
10;454,19999999999993;0,1;0,062;0,162;0,157
11;538,4333333333333;0,11;0,063;0,17300000000000001;0,166
12;616,2666666666667;0,12;0,064;0,184;0,177
13;709,7666666666667;0,13;0,065;0,195;0,18600000000000003
14;803,2666666666667;0,14;0,066;0,20600000000000002;0,19699999999999998
15;896,7666666666667;0,15;0,067;0,217;0,207
16;955,7333333333333;0,157;0,067;0,22399999999999998;0,21100000000000002
17;994,2333333333333;0,16;0,068;0,228;0,21600000000000003
18;1083,7333333333333;0,17;0,068;0,23800000000000002;0,226
19;1181,7333333333333;0,18;0,068;0,248;0,233
20;1296,2333333333333;0,19;0,068;0,258;0,243
21;1478,2333333333333;0,2;0,068;0,268;0,248
22;1712,2333333333333;0,21;0,068;0,278;0,25
