tf;sp1;sp2;sp3;sp4;tc;cp1;cp2;cp3;cp4
0;24,5;24;23,9;23,9;0;23,8;23,8;23,6;24,3
1;24,4;24;23,9;23,9;1;27;24,9;24,9;24,7
2;40,9;24;24;23,9;2;32;25,8;25,7;26,1
3;46,7;24,1;24;23,9;3;35;26,3;26,1;26,9
4;46,8;24;23,9;23,9;4;35,6;26,6;26,4;27,1
5;45,7;24,1;24;23,9;5;35,9;26,6;26,5;27,2
6;45,7;24,1;24;23,9;6;36,2;26,8;26,5;27,2
7;45,3;24,1;24;23,9;7;36,4;26,8;26,6;27,3
8;45,4;24;24;23,9;8;36,4;26,8;26,5;27,3
9;46,1;24,1;24;23,9;9;36,3;26,8;26,6;27,2
10;46,6;24,1;24;23,9;10;36,1;26,7;26,5;27,2
11;47,2;24,1;24;23,8;11;36;26,6;26,5;27,2
12;47,4;24,1;24;23,9;12;35,9;26,7;26,5;27,2
13;47,6;24,1;24;23,8;13;35,6;26,6;26,4;27,1
14;47,7;24,2;24;23,9;14;35,4;26,6;26,4;27,1
15;47,9;24,2;24;23,9;15;35,4;26,6;26,4;27
16;48,3;24,1;24;23,8;16;35,2;26,5;26,3;27
17;48,6;24,1;24;23,9;17;35;26,5;26,3;27
18;48,4;24,1;24;23,9;18;34,9;26,4;26,2;26,9
19;48,5;24,1;24;23,9;19;34,8;26,4;26,2;26,9
20;48,6;24,1;24;23,8;20;34,7;26,4;26,2;26,9
21;48,8;24,1;24;23,8;21;34,6;26,4;26,2;26,9
22;48,8;24,2;24;23,8;22;34,6;26,4;26,1;26,8
23;48,9;24,1;24;23,8;23;34,3;26,4;26,1;26,8
24;48,9;24,1;24,1;23,9;24;34,3;26,3;26,1;26,8
25;48,7;24,2;24,1;23,9;25;34,2;26,2;26;26,8
26;48,7;24,1;24;23,8;26;34,1;26,3;26;26,8
27;48,6;24,2;24;23,8;27;34;26,3;26;26,8
28;48,6;24,2;24;23,9;28;34;26,2;26;26,7
29;48,8;24,1;24;23,8;29;33,9;26,2;26;26,7
30;48,9;24,2;24;23,9;30;33,8;26,2;26;26,7
31;49,1;24,1;24;23,9;31;33,8;26,2;26;26,7
32;49,2;24,2;24;23,8;32;33,7;26,1;25,9;26,7
33;49,3;24,3;24;23,8;33;33,7;26,2;26;26,6
34;49,3;24,2;24;23,8;34;33,6;26,1;25,9;26,6
35,033;49,2;24,3;24,1;23,9;35;33,5;26,1;25,9;26,7
36,033;49,2;24,2;24;23,9;36;33,5;26,1;25,9;26,6
37,033;49,3;24,3;24,1;23,9;37;33,4;26,1;25,9;26,6
38,033;49,3;24,3;24,1;23,9;38;33,4;26,1;25,9;26,6
39,033;49,4;24,3;24,1;23,9;39;33,3;26,1;25,9;26,6
40,033;49,4;24,2;24;23,8;40;33,3;26,1;25,9;26,6
