;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;24,66666666666667;0,01;0,02;0,03;0,035
2;33,800000000000004;0,02;0,025;0,045;0,05
3;76,33333333333334;0,03;0,03;0,06;0,07200000000000001
4;152,0;0,04;0,04;0,08;0,095
5;217,0;0,05;0,05;0,1;0,105
6;255,83333333333334;0,06;0,053;0,113;0,115
7;301,3333333333333;0,07;0,057;0,127;0,13
8;374,0;0,08;0,06;0,14;0,14
9;421,3333333333333;0,09;0,062;0,152;0,15
10;492,99999999999994;0,1;0,063;0,163;0,16
11;563,6666666666667;0,11;0,065;0,175;0,17
12;626,3333333333334;0,12;0,066;0,18600000000000003;0,17800000000000002
13;708,3333333333334;0,13;0,066;0,196;0,18600000000000003
14;772,6;0,14;0,066;0,20600000000000002;0,19399999999999998
15;861,5333333333334;0,15;0,067;0,217;0,204
16;946,2666666666667;0,16;0,069;0,22899999999999998;0,212
17;1026,7666666666667;0,17;0,071;0,24100000000000002;0,22
18;1115,4333333333332;0,18;0,073;0,253;0,23
19;1208,2666666666667;0,19;0,073;0,263;0,242
20;1316,26666666667;0,2;0,073;0,273;0,25
21;1458,7666666666667;0,21;0,073;0,28300000000000003;0,255
22;1637,2666666666667;0,22;0,073;0,293;0,262
23;1755,2333333333333;0,228;0,073;0,301;0,264
24;2126,3333333333335;0,239;0,073;0,312;0,268
25;2307,3333333333335;0,245;0,073;0,318;0,27
26;2316,3333333333335;0,245;0,073;0,318;0,27
27;2500,3333333333335;0,25;0,073;0,32299999999999995;0,273
28;2696,3333333333335;0,258;0,073;0,331;0,276
29;2920,3333333333335;0,262;0,073;0,335;0,278
30;3108,3333333333335;0,268;0,073;0,341;0,28
31;3300,3333333333335;0,27;0,073;0,34299999999999997;0,28
32;3604,3333333333335;0,278;0,073;0,35100000000000003;0,28
33;3915,3333333333335;0,284;0,073;0,357;0,28
34;4345,333333333333;0,29100000000000004;0,073;0,364;0,282
35;4352,333333333333;0,29100000000000004;0,073;0,364;0,282
36;4656,333333333333;0,298;0,073;0,371;0,282
37;4662,333333333333;0,298;0,073;0,371;0,284
38;4959,333333333333;0,3;0,073;0,373;0,285
39;5265,333333333333;0,305;0,073;0,37799999999999995;0,28600000000000003
40;5573,333333333333;0,31;0,073;0,38299999999999995;0,28600000000000003
41;5875,333333333333;0,314;0,073;0,38699999999999996;0,28800000000000003
42;6155,333333333333;0,318;0,073;0,391;0,28800000000000003
43;6483,333333333333;0,32;0,073;0,39299999999999996;0,29
44;6793,333333333333;0,325;0,073;0,39799999999999996;0,29
45;8008,333333333333;0,335;0,073;0,408;0,29
46;10966,333333333334;0,37;0,073;0,44299999999999995;0,29
47;23966,333333333332;0,41;0,073;0,483;0,29
48;55066,333333333336;0,415;0,073;0,488;0,29
