Omega RDXL6SD Serial No. 002006 - Logged Data
Date:,03-10-16
Time:,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,
,,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,
13:08:21,51,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:22,52,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.3,
13:08:23,53,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:24,54,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:25,55,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:26,56,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:27,57,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:28,58,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:29,59,  22.5,  22.5,  22.4,  22.7, 850.0, 850.0,  23.9,  24.2,  24.5,  25.3,
13:08:30,60,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:31,61,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:32,62,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:33,63,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:34,64,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:35,65,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:36,66,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.6,  25.3,
13:08:37,67,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:38,68,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.3,
13:08:39,69,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.3,
13:08:40,70,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.5,  25.2,
13:08:41,71,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.3,
13:08:42,72,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
