;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;2,366666666666667;0,01;0,01;0,02;0,04
2;6,866666666666667;0,02;0,02;0,04;0,06
3;10,533333333333331;0,03;0,025;0,055;0,07
4;15,533333333333331;0,04;0,03;0,07;0,08
5;20,53333333333333;0,05;0,035;0,085;0,092
6;27,03333333333334;0,06;0,036000000000000004;0,096;0,102
7;33,36666666666667;0,07;0,037000000000000005;0,107;0,11199999999999999
8;40,699999999999996;0,08;0,038;0,11800000000000001;0,122
9;48,36666666666667;0,09;0,039;0,129;0,132
10;56,78333333333334;0,1;0,04;0,14;0,145
11;65,69999999999999;0,11;0,040999999999999995;0,151;0,152
12;77,03333333333333;0,12;0,042;0,162;0,16
13;84,86666666666667;0,13;0,043;0,17300000000000001;0,17
14;94,53333333333333;0,14;0,044000000000000004;0,184;0,175
15;104,45000000000002;0,15;0,047;0,19699999999999998;0,182
16;116,03333333333333;0,16;0,05;0,21;0,19
17;126,36666666666667;0,17;0,052000000000000005;0,222;0,198
18;138,36666666666667;0,18;0,053;0,233;0,204
19;149,86666666666667;0,19;0,054000000000000006;0,244;0,21
20;161,86666666666667;0,2;0,055;0,255;0,21600000000000003
21;173,95000000000002;0,21;0,057;0,267;0,222
22;185,70000000000002;0,22;0,057999999999999996;0,278;0,228
23;198,70000000000002;0,23;0,059000000000000004;0,289;0,235
24;212,03333333333333;0,24;0,059000000000000004;0,299;0,23800000000000002
25;224,61666666666667;0,25;0,059000000000000004;0,309;0,242
26;237,86666666666667;0,26;0,059000000000000004;0,319;0,245
27;253,95;0,27;0,059000000000000004;0,32899999999999996;0,255
28;269,3666666666667;0,28;0,06;0,34;0,26
29;284,3666666666667;0,29;0,06;0,35;0,266
30;304,03333333333336;0,3;0,06;0,36;0,272
31;329,3666666666667;0,31;0,06;0,37;0,276
32;369,3666666666667;0,32;0,06;0,38;0,278
33;454,3666666666667;0,33;0,06;0,39;0,28
34;614,3666666666667;0,34;0,06;0,4;0,28
35;809,3666666666667;0,35;0,06;0,41;0,284
36;1019,3666666666667;0,36;0,06;0,42;0,284
37;1159,2166666666665;0,365;0,06;0,425;0,284
38;1245,3666666666666;0,366;0,06;0,426;0,284
39;1257,3666666666666;0,366;0,06;0,426;0,285
40;1261,3666666666666;0,366;0,06;0,426;0,285
41;1266,3666666666666;0,36700000000000005;0,06;0,42700000000000005;0,285
42;1276,3666666666666;0,36700000000000005;0,06;0,42700000000000005;0,285
43;1285,3666666666666;0,368;0,06;0,428;0,28600000000000003
44;1357,3666666666666;0,369;0,06;0,429;0,28600000000000003
45;1495,3666666666666;0,37;0,06;0,43;0,28600000000000003
46;1633,3666666666666;0,37;0,06;0,43;0,28600000000000003
47;1767,3666666666666;0,37200000000000005;0,06;0,43200000000000005;0,28600000000000003
48;1895,3666666666666;0,37200000000000005;0,06;0,43200000000000005;0,28600000000000003
49;2031,3666666666666;0,37200000000000005;0,06;0,43200000000000005;0,28600000000000003
50;2157,366666666667;0,375;0,06;0,435;0,28600000000000003
51;2284,366666666667;0,375;0,06;0,435;0,28600000000000003
52;2410,366666666667;0,375;0,06;0,435;0,28600000000000003
53;2535,366666666667;0,376;0,06;0,436;0,28600000000000003
54;2857,366666666667;0,37799999999999995;0,06;0,43799999999999994;0,28600000000000003
55;3165,366666666667;0,37799999999999995;0,06;0,43799999999999994;0,28600000000000003
56;3470,366666666667;0,379;0,06;0,439;0,28600000000000003
57;3771,366666666667;0,379;0,06;0,439;0,28600000000000003
58;4081,366666666667;0,379;0,06;0,439;0,28600000000000003
59;4388,366666666667;0,379;0,06;0,439;0,28600000000000003
60;4996,366666666667;0,379;0,06;0,439;0,28600000000000003
61;5601,366666666667;0,38;0,06;0,44;0,28600000000000003
62;6204,366666666667;0,38;0,06;0,44;0,28600000000000003
