tf;av;max
0;28,7;31,1
1;30,0;33,1
2;46,9;47,6
3;45,7;46,7
4;45,2;47,1
5;45,7;47,0
6;46,0;46,8
7;46,2;46,8
8;46,4;46,7
9;48,3;68,6
10,3;46,4;46,7
11,3;46,4;46,9
12,3;46,4;47,0
13,3;46,5;47,2
14,3;46,5;47,3
15,3;46,6;47,4
16,3;46,7;47,5
17,3;46,8;47,6
18,3;46,9;47,7
19,3;46,9;47,8
20,3;47,0;47,8
21,3;47,1;47,8
22,3;47,1;47,9
23,3;47,2;47,9
24,3;47,2;47,8
25,3;47,2;47,8
26,3;47,2;47,8
27,3;47,3;47,7
28,3;47,3;47,7
29,3;47,2;47,6
30,3;47,3;47,6
31,3;47,2;47,6
32,3;47,2;47,6
33,3;47,3;47,6
34,3;47,2;47,6
35,3;47,2;47,6
36,3;47,1;47,6
37,3;47,1;47,6
38,3;47,0;47,5
39,3;46,9;47,5
40,3;46,9;47,4
41,3;46,9;47,4
42,3;46,8;47,4
43,3;46,7;47,3
44,3;46,5;47,2
45,3;46,4;47,0
46,333;46,4;46,8
47,333;46,4;46,8
48,333;46,2;46,8
49,333;46,2;46,7
50,333;46,1;46,7
51,333;46,1;46,7
52,333;46,0;46,6
53,333;46,0;46,6
54,333;46,0;46,7
55,333;46,0;46,6
56,333;46,0;46,7
57,333;46,1;46,5
58,333;46,2;46,6
59,333;46,2;46,5
60,333;46,2;46,6
61,333;46,2;46,5
62,333;46,1;46,5
63,333;46,1;46,5
64,333;46,1;46,5
65,333;46,1;46,5
66,333;46,1;46,5
67,333;46,0;46,5
68,333;46,0;46,5
69,333;46,0;46,4
70,333;46,0;46,5
71,333;46,0;46,5
72,333;46,0;46,5
74,967;45,8;46,5
75,967;45,7;46,4
76,967;45,7;46,2
77,967;45,7;46,2
78,967;45,7;46,1
79,967;45,7;46,1
80,967;45,6;45,9
81,967;45,5;45,9
82,967;45,4;45,8
83,967;45,4;45,8
84,967;45,3;45,7
85,967;45,3;45,7
86,967;45,3;45,6
87,967;45,3;45,5
88,967;45,2;45,5
89,967;45,3;45,5
90,967;45,2;45,5
91,967;45,2;45,5
92,967;45,2;45,5
93,967;45,2;45,5
94,967;45,2;45,5
