;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;0,30000000000001137;0,01;0,0;0,01;0,01
2;0,36666666666667425;0,02;0,0;0,02;0,01
3;0,5;0,03;0,005;0,035;0,02
4;1,7333333333333485;0,04;0,008;0,048;0,06
5;4,066666666666663;0,05;0,015;0,065;0,075
6;5,633333333333326;0,06;0,02;0,08;0,09
7;7,566666666666663;0,07;0,023;0,09300000000000001;0,1
8;10,400000000000034;0,08;0,025;0,105;0,11
9;12,966666666666697;0,09;0,03;0,12;0,12
10;15,400000000000034;0,1;0,04;0,14;0,14
11;17,666666666666686;0,11;0,045;0,155;0,15
12;19,966666666666697;0,12;0,048;0,168;0,158
13;22,600000000000023;0,13;0,05;0,18;0,16
14;24,900000000000034;0,14;0,052000000000000005;0,192;0,16699999999999998
15;27,466666666666697;0,15;0,053;0,203;0,17300000000000001
16;29,80000000000001;0,16;0,055;0,215;0,179
17;32,400000000000034;0,17;0,055999999999999994;0,226;0,185
18;35,06666666666666;0,18;0,057;0,237;0,193
19;37,666666666666686;0,19;0,057999999999999996;0,248;0,198
20;40,56666666666666;0,2;0,06;0,26;0,205
21;43,4666666666667;0,21;0,062;0,272;0,212
22;46,4666666666667;0,22;0,063;0,28300000000000003;0,218
23;49,9666666666667;0,23;0,065;0,295;0,222
24;54,133333333333326;0,24;0,066;0,306;0,226
25;58,23333333333335;0,25;0,067;0,317;0,23199999999999998
26;63,133333333333326;0,26;0,068;0,32799999999999996;0,23600000000000002
27;69,80000000000001;0,27;0,069;0,33899999999999997;0,24
28;78,9666666666667;0,28;0,07;0,35;0,242
29;91,30000000000001;0,29;0,07;0,36;0,248
30;118,19999999999999;0,3;0,07;0,37;0,25
31;129,4666666666667;0,31;0,07;0,38;0,251
32;164,3;0,32;0,07;0,39;0,252
33;215,3;0,33;0,07;0,4;0,253
34;308,8;0,34;0,07;0,41;0,254
35;487,3;0,35;0,07;0,42;0,255
36;762,2666666666667;0,359;0,07;0,429;0,255
37;830,2666666666667;0,36;0,07;0,43;0,255
38;1203,7666666666667;0,37;0,07;0,44;0,255
39;1517,9333333333334;0,373;0,07;0,44299999999999995;0,255
