FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
45;14003;0,089695065;0,012425909;0,009497965;0,01114047;0,045704492;0,162965079;0,28315361;0,359351568;0,026065843
46;14231;0,085166186;0,01377275;0,008783641;0,011032254;0,047150587;0,166889186;0,29105474;0,352540229;0,023610428
47;14499;0,08552314;0,012897441;0,008828195;0,012207738;0,047382578;0,167735706;0,296089385;0,353127802;0,016208014
48;14787;0,085750997;0,012984378;0,008520998;0,011293704;0,048961926;0,165753703;0,299384595;0,356191249;0,01115845
49;15005;0,082305898;0,012862379;0,008597134;0,011396201;0,052049317;0,163678774;0,308363879;0,351416195;0,009330223
50;15242;0,079976381;0,013056029;0,009972445;0,010103661;0,05504527;0,159427897;0,325285396;0,336110747;0,011022176
51;15518;0,079649439;0,013017141;0,008699575;0,012114963;0,056192808;0,159169996;0,333548138;0,327748421;0,009859518
52;15696;0,0752421;0,012168705;0,009365443;0,011786442;0,059314475;0,159212538;0,340978593;0,325688073;0,006243629
53;15961;0,074869996;0,012969112;0,007768937;0,01315707;0,060271913;0,155817305;0,352985402;0,312762358;0,009397907
54;16200;0,073209877;0,012098765;0,008765432;0,012962963;0,060617284;0,155123457;0,364135802;0,303703704;0,009382716
55;16470;0,073102611;0,011657559;0,008743169;0,013721919;0,060473588;0,155676988;0,371220401;0,297328476;0,008075288
56;16755;0,074544912;0,010802745;0,009609072;0,012294837;0,058788421;0,163712325;0,374574754;0,287854372;0,007818562
57;16972;0,071352816;0,011666274;0,009132689;0,012196559;0,061748763;0,158496347;0,382924817;0,282347396;0,010134339
58;17235;0,070960255;0,011952422;0,00870322;0,013286916;0,060632434;0,159849144;0,383057731;0,282390484;0,009167392
59;17526;0,07212142;0,012153372;0,00804519;0,014036289;0,060538628;0,161303207;0,389592605;0,275476435;0,006732854
60;17765;0,070925978;0,01232761;0,007824374;0,013734872;0,0613566;0,168702505;0,386940614;0,27238953;0,005797917
61;18058;0,071547237;0,011629195;0,00863883;0,01345664;0,061856241;0,173828774;0,388913501;0,264647248;0,005482335
62;18286;0,069069233;0,011210762;0,008749863;0,013835721;0,065350541;0,1736301;0,385650224;0,270206716;0,002296839
63;18624;0,072003866;0,011544244;0,008752148;0,013960481;0,063573883;0,166076031;0,402330326;0,259396478;0,002362543
64;18813;0,068303832;0,011162494;0,008770531;0,013076064;0,064210918;0,170307766;0,404507521;0,259660873;0
65;19045;0,06647414;0,011341559;0,008663691;0,014124442;0,068206878;0,170175899;0,403570491;0,257442898;0
66;19390;0,069932955;0,011294482;0,00917999;0,013976276;0,067509025;0,171944301;0,405827746;0,250335224;0
67;19682;0,070368865;0,011228534;0,008738949;0,014480236;0,066964739;0,172289401;0,409307997;0,246621278;0
68;19846;0,066310592;0,010732641;0,009876046;0,013403205;0,068074171;0,175551748;0,423561423;0,232490174;0
69;20069;0,064527381;0,010563556;0,008719916;0,015247396;0,066570332;0,175992825;0,429717475;0,228661119;0
70;20427;0,067949283;0,011308562;0,008420228;0,014392716;0,065060949;0,176677926;0,429480589;0,226709747;0
71;20712;0,069283507;0,010428737;0,008449208;0,015691387;0,062427578;0,177867903;0,430426806;0,225424874;0
72;20838;0,062194069;0,011421442;0,008158173;0,015212592;0,065073424;0,184134754;0,436750168;0,21705538;0
73;21163;0,064688371;0,010631763;0,007985635;0,016443793;0,065775174;0,18300808;0,429995747;0,221471436;0
74;21364;0,060943644;0,011374274;0,008284965;0,0163827;0,067403108;0,18877551;0,433626662;0,213209137;0
75;21654;0,060681629;0,010529232;0,008820541;0,016486561;0,066130969;0,194236631;0,430636372;0,212478064;0
76;21943;0,0617509;0,010390557;0,008157499;0,016497288;0,066308162;0,195734403;0,428701636;0,212459554;0
77;22271;0,063760047;0,009429303;0,00965381;0,015401194;0,068070585;0,197835751;0,419199856;0,216649454;0
78;22539;0,063090643;0,009849594;0,007986157;0,016859665;0,068059807;0,202804029;0,423887484;0,20746262;0
79;22783;0,061581003;0,011192556;0,007856735;0,015537901;0,069788878;0,211473467;0,418294342;0,204275117;0
80;23052;0,060949158;0,010150963;0,008806177;0,015573486;0,069408294;0,208007982;0,420180462;0,206923477;0
