;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;5,983333333333334;0,02;0,02;0,04;0,05
2;7,416666666666668;0,03;0,025;0,055;0,06
3;9,866666666666667;0,04;0,03;0,07;0,06
4;13,166666666666668;0,05;0,035;0,085;0,065
5;17,166666666666664;0,06;0,04;0,1;0,078
6;28,666666666666664;0,07;0,05;0,12;0,11
7;43,0;0,08;0,06;0,14;0,14
8;54,83333333333333;0,09;0,066;0,156;0,162
9;67,33333333333333;0,1;0,07;0,17;0,17800000000000002
10;79,33333333333333;0,11;0,075;0,185;0,192
11;94,5;0,12;0,077;0,19699999999999998;0,21
12;106,33333333333333;0,13;0,08;0,21;0,222
13;131,5;0,14;0,08;0,22;0,23
14;181,5;0,15;0,08;0,23;0,24
15;251,5;0,16;0,08;0,24;0,24600000000000002
16;341,5;0,17;0,08;0,25;0,255
17;481,5;0,18;0,08;0,26;0,26
18;636,5;0,19;0,08;0,27;0,265
19;814,8333333333334;0,2;0,08;0,28;0,27
20;1056,5;0,209;0,08;0,289;0,273
21;1180,35;0,214;0,08;0,294;0,28
22;1251,5;0,217;0,08;0,297;0,28
23;1304,5;0,21899999999999997;0,08;0,299;0,282
24;1425,5;0,22;0,08;0,3;0,282
25;1554,5;0,221;0,08;0,301;0,285
26;1737,5;0,223;0,08;0,303;0,285
27;1981,5;0,225;0,08;0,305;0,285
28;2289,5;0,22699999999999998;0,08;0,307;0,285
29;2657,5;0,23;0,08;0,31;0,287
30;3089,5;0,23;0,08;0,31;0,287
31;3730,5;0,23800000000000002;0,08;0,318;0,287
32;4566,5;0,24;0,08;0,32;0,289
33;5596,5;0,248;0,08;0,32799999999999996;0,29
34;6817,5;0,25;0,08;0,33;0,29
35;8228,5;0,251;0,08;0,331;0,29
36;9955,5;0,26;0,08;0,34;0,293
37;12010,5;0,262;0,08;0,342;0,293
38;14371,5;0,268;0,08;0,348;0,293
39;17043,5;0,27;0,08;0,35;0,295
40;20015,5;0,275;0,08;0,355;0,295
41;23290,5;0,278;0,08;0,358;0,295
42;26871,5;0,28;0,08;0,36;0,295
43;30757,5;0,281;0,08;0,361;0,295
44;34951,5;0,285;0,08;0,365;0,295
45;39449,5;0,28800000000000003;0,08;0,368;0,295
46;44259,5;0,29;0,08;0,37;0,295
47;49375,5;0,29;0,08;0,37;0,295
