;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;0,3333333333333144;0,01;0,0;0,01;0,01
2;1,0;0,02;0,005;0,025;0,05
3;1,2333333333333485;0,03;0,008;0,038;0,055999999999999994
4;3,6333333333333258;0,04;0,02;0,06;0,065
5;6,2333333333333485;0,05;0,027000000000000003;0,077;0,095
6;8,233333333333348;0,06;0,033;0,09300000000000001;0,106
7;10,566666666666663;0,07;0,04;0,11;0,115
8;12,5;0,08;0,043;0,12300000000000001;0,12300000000000001
9;14,5;0,09;0,046;0,136;0,132
10;16,066666666666663;0,1;0,048;0,14800000000000002;0,138
11;17,600000000000023;0,11;0,05;0,16;0,142
12;19,5;0,12;0,051;0,171;0,149
13;21,566666666666663;0,13;0,052000000000000005;0,182;0,156
14;23,566666666666663;0,14;0,053;0,193;0,16
15;25,73333333333335;0,15;0,054000000000000006;0,204;0,165
16;27,5;0,16;0,055;0,215;0,17
17;27,899999999999977;0,17;0,055999999999999994;0,226;0,175
18;30,166666666666686;0,18;0,057;0,237;0,17800000000000002
19;32,5;0,19;0,057999999999999996;0,248;0,183
20;34,633333333333326;0,2;0,057999999999999996;0,258;0,19
21;37,23333333333335;0,21;0,057999999999999996;0,268;0,195
22;39,30000000000001;0,22;0,057999999999999996;0,278;0,19899999999999998
23;41,96666666666664;0,23;0,057999999999999996;0,28800000000000003;0,20199999999999999
24;44,96666666666664;0,24;0,059000000000000004;0,299;0,207
25;47,76666666666665;0,25;0,059000000000000004;0,309;0,212
26;50,833333333333314;0,26;0,059000000000000004;0,319;0,218
27;54,366666666666674;0,27;0,059000000000000004;0,32899999999999996;0,222
28;57,96666666666664;0,28;0,059000000000000004;0,33899999999999997;0,228
29;62,633333333333326;0,29;0,059000000000000004;0,349;0,213
30;68,43333333333334;0,3;0,059000000000000004;0,359;0,218
31;77,23333333333335;0,31;0,059000000000000004;0,369;0,225
32;88,23333333333335;0,32;0,059000000000000004;0,379;0,23
33;90,5;0,33;0,059000000000000004;0,389;0,237
34;107,56666666666666;0,34;0,06;0,4;0,243
35;143,56666666666666;0,35;0,06;0,41;0,244
36;194,56666666666666;0,36;0,06;0,42;0,245
37;347,56666666666666;0,36;0,06;0,42;0,245
38;612,5333333333333;0,36700000000000005;0,06;0,42700000000000005;0,245
39;1038,0333333333333;0,37;0,06;0,43;0,245
40;1368,5;0,37799999999999995;0,06;0,43799999999999994;0,245
